"","baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
"1",0.01,0.5,1,0.5,"baffler",0.26,0.37254245232977,0.0730183206566349
"2",0.05,0.5,1,0.5,"baffler",0.366666666666667,0.193902563842954,0.038004902513219
"3",0.09,0.5,1,0.5,"baffler",0.320909090909091,0.137479365753607,0.026945955687707
"4",0.13,0.5,1,0.5,"baffler",0.328125,0.108571634756677,0.0212800404123088
"5",0.17,0.5,1,0.5,"baffler",0.323333333333333,0.117531470980285,0.0230361683121358
"6",0.21,0.5,1,0.5,"baffler",0.320377358490566,0.0986796625286668,0.0193412138556187
"7",0.25,0.5,1,0.5,"baffler",0.30741935483871,0.0950155175773831,0.0186230414451671
"8",0.29,0.5,1,0.5,"baffler",0.295342465753425,0.0850550572760611,0.016670791226108
"9",0.33,0.5,1,0.5,"baffler",0.285975609756098,0.0762546112828099,0.0149459038114307
"10",0.37,0.5,1,0.5,"baffler",0.301630434782609,0.0792804172792768,0.0155389617867383
"11",0.41,0.5,1,0.5,"baffler",0.283689320388349,0.0746900683495519,0.0146392533965122
"12",0.45,0.5,1,0.5,"baffler",0.282767857142857,0.0702469796824335,0.013768408017757
"13",0.49,0.5,1,0.5,"baffler",0.271393442622951,0.0781517594631553,0.0153177448547784
"14",0.53,0.5,1,0.5,"baffler",0.282121212121212,0.0958152217290759,0.0187797834588989
"15",0.57,0.5,1,0.5,"baffler",0.270559440559441,0.0758052892274604,0.0148578366885822
"16",0.61,0.5,1,0.5,"baffler",0.261315789473684,0.080521477096949,0.015782209511002
"17",0.65,0.5,1,0.5,"baffler",0.265987654320988,0.0736890636495394,0.0144430564753097
"18",0.69,0.5,1,0.5,"baffler",0.259017341040462,0.0779192059528349,0.0152721643667556
"19",0.73,0.5,1,0.5,"baffler",0.257582417582418,0.0684228904273942,0.0134108865237693
"20",0.77,0.5,1,0.5,"baffler",0.256302083333333,0.0743651781881619,0.0145755749248797
"21",0.81,0.5,1,0.5,"baffler",0.248465346534653,0.0733760913466761,0.0143817139039485
"22",0.85,0.5,1,0.5,"baffler",0.255707547169811,0.0764313129395543,0.0149805373361526
"23",0.89,0.5,1,0.5,"baffler",0.242117117117117,0.0697199418301407,0.0136651085987076
"24",0.93,0.5,1,0.5,"baffler",0.251810344827586,0.0677082475837135,0.0132708165264078
"25",0.97,0.5,1,0.5,"baffler",0.259710743801653,0.0754012863537268,0.0147786521253305
"26",0.01,0.5,1,0.5,"caller",0.385625149566939,0.0780651160781866,0.0153007627513246
"27",0.05,0.5,1,0.5,"caller",0.37512339418526,0.0867021749071761,0.0169936262818065
"28",0.09,0.5,1,0.5,"caller",0.355122564843105,0.0740627443100292,0.0145162978847657
