"","baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
"1",0.01,0.5,1,0.5,"baffler",0.285,0.377759209288166,0.0740408050204805
"2",0.05,0.5,1,0.5,"baffler",0.315833333333333,0.163391644232998,0.0320247622696677
"3",0.09,0.5,1,0.5,"baffler",0.327272727272727,0.147466570838901,0.0289034478844246
"4",0.13,0.5,1,0.5,"baffler",0.3090625,0.123163193327619,0.0241399858922134
"5",0.17,0.5,1,0.5,"baffler",0.293095238095238,0.0905973088702917,0.0177570725385772
"6",0.21,0.5,1,0.5,"baffler",0.28811320754717,0.105950451288848,0.0207662884526142
"7",0.25,0.5,1,0.5,"baffler",0.277903225806452,0.0932860840981792,0.0182840724832431
"8",0.29,0.5,1,0.5,"baffler",0.279178082191781,0.089833833139812,0.0176074312954032
"9",0.33,0.5,1,0.5,"baffler",0.269634146341463,0.0921591343969465,0.0180631903418015
"10",0.37,0.5,1,0.5,"baffler",0.256304347826087,0.0905886688586856,0.0177553790963024
"11",0.41,0.5,1,0.5,"baffler",0.255339805825243,0.0966105777572209,0.0189356732404153
"12",0.45,0.5,1,0.5,"baffler",0.242232142857143,0.0845769050812274,0.0165770733959206
"13",0.49,0.5,1,0.5,"baffler",0.243114754098361,0.0933714210326466,0.0183007985223987
"14",0.53,0.5,1,0.5,"baffler",0.240227272727273,0.086069630697685,0.0168696476167463
"15",0.57,0.5,1,0.5,"baffler",0.237622377622378,0.0749223193807396,0.014684774598625
"16",0.61,0.5,1,0.5,"baffler",0.226578947368421,0.0836753244423647,0.0164003635907035
"17",0.65,0.5,1,0.5,"baffler",0.229320987654321,0.0851110309417424,0.0166817620645815
"18",0.69,0.5,1,0.5,"baffler",0.225317919075145,0.0853971118870043,0.0167378339298528
"19",0.73,0.5,1,0.5,"baffler",0.217362637362637,0.0847158737468448,0.0166043112543816
"20",0.77,0.5,1,0.5,"baffler",0.218958333333333,0.0800869665313467,0.0156970454401439
"21",0.81,0.5,1,0.5,"baffler",0.211732673267327,0.0850926042782395,0.0166781504385349
"22",0.85,0.5,1,0.5,"baffler",0.211462264150943,0.0847362279343449,0.0166083006751316
"23",0.89,0.5,1,0.5,"baffler",0.218378378378378,0.0887826688987029,0.0174014031041458
"24",0.93,0.5,1,0.5,"baffler",0.204439655172414,0.0783210848019453,0.0153509326211813
"25",0.97,0.5,1,0.5,"baffler",0.20297520661157,0.08137280003543,0.0159490688069443
"26",0.01,0.5,1,0.5,"caller",0.377331809211799,0.0747579726947376,0.0146525626481686
"27",0.05,0.5,1,0.5,"caller",0.366224328236292,0.070548864811794,0.0138275775031116
"28",0.09,0.5,1,0.5,"caller",0.344277331843121,0.0825104693987679,0.0161720520021585
"29",0.13,0.5,1,0.5,"caller",0.339360176271033,0.08690857902837,0.0170340814895605
"30",0.17,0.5,1,0.5,"caller",0.320016034793305,0.0859402624033352,0.0168442914310537
"31",0.21,0.5,1,0.5,"caller",0.316620489690722,0.103225041997593,0.0202321082315282
"32",0.25,0.5,1,0.5,"caller",0.321119423308928,0.109709326361613,0.0215030279668762
"33",0.29,0.5,1,0.5,"caller",0.299023001314875,0.0961143966502139,0.0188384217434419
"34",0.33,0.5,1,0.5,"caller",0.291066232927581,0.0997041347952369,0.0195420104198664
"35",0.37,0.5,1,0.5,"caller",0.282002301495972,0.107207328744132,0.0210126364338499
"36",0.41,0.5,1,0.5,"caller",0.284488512485088,0.110028816314188,0.0215656479975809
"37",0.45,0.5,1,0.5,"caller",0.260670273949943,0.0988659564409426,0.0193777274624248
"38",0.49,0.5,1,0.5,"caller",0.270669642857143,0.104227014149824,0.0204284947733654
"39",0.53,0.5,1,0.5,"caller",0.277308232592,0.0971843379853416,0.019048130245127
"40",0.57,0.5,1,0.5,"caller",0.250245856930097,0.105294748914241,0.0206377707871913
