,baffle_prop,density,bush_density,male_prop,tactic,mean_success,sd,ci
1,0.01,0.05,1,0.5,baffler,0.05,0.166666667,0.032666667
2,0.01,0.5,1,0.5,baffler,0.49,0.594503443,0.116522675
3,0.01,1,1,0.5,baffler,0.89,0.723278171,0.141762522
4,0.05,0.05,1,0.5,baffler,0.041666667,0.057418268,0.01125398
5,0.05,0.5,1,0.5,baffler,0.449166667,0.200621579,0.039321829
6,0.05,1,1,0.5,baffler,0.770833333,0.273803642,0.053665514
7,0.09,0.05,1,0.5,baffler,0.049090909,0.039128156,0.007669119
8,0.09,0.5,1,0.5,baffler,0.456363636,0.168833893,0.033091443
9,0.09,1,1,0.5,baffler,0.764545455,0.238814377,0.046807618
10,0.13,0.05,1,0.5,baffler,0.043125,0.035193145,0.006897856
11,0.13,0.5,1,0.5,baffler,0.4103125,0.136009411,0.026657845
12,0.13,1,1,0.5,baffler,0.741875,0.193792762,0.037983381
13,0.17,0.05,1,0.5,baffler,0.051190476,0.034738967,0.006808838
14,0.17,0.5,1,0.5,baffler,0.403095238,0.112303181,0.022011423
15,0.17,1,1,0.5,baffler,0.733333333,0.172624231,0.033834349
16,0.21,0.05,1,0.5,baffler,0.044150943,0.028026742,0.005493241
17,0.21,0.5,1,0.5,baffler,0.413584906,0.103576055,0.020300907
18,0.21,1,1,0.5,baffler,0.708113208,0.16925889,0.033174742
19,0.25,0.05,1,0.5,baffler,0.04516129,0.026537384,0.005201327
20,0.25,0.5,1,0.5,baffler,0.397096774,0.095014411,0.018622825
21,0.25,1,1,0.5,baffler,0.717096774,0.17240035,0.033790469
22,0.29,0.05,1,0.5,baffler,0.051780822,0.025652186,0.005027828
23,0.29,0.5,1,0.5,baffler,0.399452055,0.096466278,0.01890739
24,0.29,1,1,0.5,baffler,0.696712329,0.166378057,0.032610099
25,0.33,0.05,1,0.5,baffler,0.049390244,0.024536088,0.004809073
26,0.33,0.5,1,0.5,baffler,0.396829268,0.085698153,0.016796838
27,0.33,1,1,0.5,baffler,0.682073171,0.173128003,0.033933089
28,0.37,0.05,1,0.5,baffler,0.047065217,0.023886828,0.004681818
29,0.37,0.5,1,0.5,baffler,0.393586957,0.099636723,0.019528798
30,0.37,1,1,0.5,baffler,0.653804348,0.168648178,0.033055043
31,0.41,0.05,1,0.5,baffler,0.044951456,0.019885265,0.003897512
32,0.41,0.5,1,0.5,baffler,0.38776699,0.087043696,0.017060564
33,0.41,1,1,0.5,baffler,0.661359223,0.183372572,0.035941024
