"","baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
"1",0.01,0.05,1,0.5,"baffler",0.075,0.205664726674216,0.0403102864281463
"2",0.01,0.5,1,0.5,"baffler",0.45,0.49492372639579,0.0970050503735749
"3",0.01,1,1,0.5,"baffler",0.93,0.969275476577711,0.189977993409231
"4",0.05,0.05,1,0.5,"baffler",0.0558333333333334,0.0777191337355036,0.0152329502121587
"5",0.05,0.5,1,0.5,"baffler",0.47,0.201188946375438,0.0394330334895858
"6",0.05,1,1,0.5,"baffler",0.934166666666667,0.373860971236224,0.0732767503622998
"7",0.09,0.05,1,0.5,"baffler",0.0577272727272727,0.0558965658960506,0.0109557269156259
"8",0.09,0.5,1,0.5,"baffler",0.539090909090909,0.190891599181184,0.0374147534395121
"9",0.09,1,1,0.5,"baffler",0.895,0.245562928830938,0.0481303340508638
"10",0.13,0.05,1,0.5,"baffler",0.0565625,0.042993780014666,0.00842678088287454
"11",0.13,0.5,1,0.5,"baffler",0.4796875,0.135698642902595,0.0265969340089087
"12",0.13,1,1,0.5,"baffler",0.845625,0.206183031674542,0.0404118742082102
"13",0.17,0.05,1,0.5,"baffler",0.0504761904761905,0.0381793203878691,0.00748314679602234
"14",0.17,0.5,1,0.5,"baffler",0.454523809523809,0.117234631670878,0.0229779878074921
"15",0.17,1,1,0.5,"baffler",0.857857142857143,0.204073784750271,0.0399984618110531
"16",0.21,0.05,1,0.5,"baffler",0.0533962264150943,0.0327412160312137,0.00641727834211788
"17",0.21,0.5,1,0.5,"baffler",0.465283018867925,0.110449211747317,0.0216480455024741
"18",0.21,1,1,0.5,"baffler",0.86433962264151,0.200033709145598,0.0392066069925372
"19",0.25,0.05,1,0.5,"baffler",0.0551612903225807,0.027717221329974,0.00543257538067491
"20",0.25,0.5,1,0.5,"baffler",0.461774193548387,0.104015364843693,0.0203870115093638
"21",0.25,1,1,0.5,"baffler",0.818387096774193,0.175110423843901,0.0343216430734045
"22",0.29,0.05,1,0.5,"baffler",0.0605479452054794,0.0280927362951627,0.00550617631385189
"23",0.29,0.5,1,0.5,"baffler",0.452465753424658,0.0946760361720533,0.0185565030897225
"24",0.29,1,1,0.5,"baffler",0.824246575342466,0.157902962177414,0.0309489805867732
"25",0.33,0.05,1,0.5,"baffler",0.0574390243902439,0.0312143053523208,0.00611800384905487
"26",0.33,0.5,1,0.5,"baffler",0.447439024390244,0.0935633132326151,0.0183384093935926
"27",0.33,1,1,0.5,"baffler",0.80219512195122,0.160336963928517,0.0314260449299894
"28",0.37,0.05,1,0.5,"baffler",0.0539130434782608,0.0254290482971369,0.00498409346623884
"29",0.37,0.5,1,0.5,"baffler",0.432934782608696,0.0886157979028998,0.0173686963889684
"30",0.37,1,1,0.5,"baffler",0.799130434782609,0.170170535384422,0.0333534249353466
"31",0.41,0.05,1,0.5,"baffler",0.0510679611650485,0.0210918748438335,0.00413400746939136
"32",0.41,0.5,1,0.5,"baffler",0.427864077669903,0.0778322198208753,0.0152551150848916
"33",0.41,1,1,0.5,"baffler",0.786019417475728,0.149899335381075,0.0293802697346907
"34",0.45,0.05,1,0.5,"baffler",0.0505357142857143,0.0237492472946505,0.00465485246975149
"35",0.45,0.5,1,0.5,"baffler",0.432678571428571,0.0815499889060646,0.0159837978255887
"36",0.45,1,1,0.5,"baffler",0.770625,0.160391766935657,0.0314367863193888
"37",0.49,0.05,1,0.5,"baffler",0.0541803278688524,0.0231514601702302,0.00453768619336513
"38",0.49,0.5,1,0.5,"baffler",0.422049180327869,0.0837405051891132,0.0164131390170662
"39",0.49,1,1,0.5,"baffler",0.765491803278688,0.158315249879544,0.0310297889763906
"40",0.53,0.05,1,0.5,"baffler",0.0547727272727273,0.0200827228302635,0.00393621367473166
"41",0.53,0.5,1,0.5,"baffler",0.424469696969697,0.0864604773910579,0.0169462535686473
"42",0.53,1,1,0.5,"baffler",0.766893939393939,0.16910745462352,0.0331450611062099
"43",0.57,0.05,1,0.5,"baffler",0.0503496503496504,0.0179736069155669,0.0035228269554511
"44",0.57,0.5,1,0.5,"baffler",0.421888111888112,0.0780865538540758,0.0153049645553989
"45",0.57,1,1,0.5,"baffler",0.744615384615384,0.151762655038051,0.029745480387458
"46",0.61,0.05,1,0.5,"baffler",0.0516447368421053,0.0172263686115016,0.00337636824785431
"47",0.61,0.5,1,0.5,"baffler",0.4225,0.0858430726912468,0.0168252422474844
"48",0.61,1,1,0.5,"baffler",0.745657894736842,0.169675116223961,0.0332563227798963
"49",0.65,0.05,1,0.5,"baffler",0.0524074074074074,0.0189295328417904,0.00371018843699091
"50",0.65,0.5,1,0.5,"baffler",0.411358024691358,0.0847173455148075,0.0166045997209023
"51",0.65,1,1,0.5,"baffler",0.733086419753086,0.161867175619406,0.0317259664214036
"52",0.69,0.05,1,0.5,"baffler",0.0510982658959537,0.0168117587822313,0.00329510472131733
"53",0.69,0.5,1,0.5,"baffler",0.412543352601156,0.0814720757084361,0.0159685268388535
"54",0.69,1,1,0.5,"baffler",0.72971098265896,0.162060435517206,0.0317638453613723
"55",0.73,0.05,1,0.5,"baffler",0.0496153846153846,0.0183392280883558,0.00359448870531773
"56",0.73,0.5,1,0.5,"baffler",0.409285714285714,0.0744020837654235,0.014582808418023
"57",0.73,1,1,0.5,"baffler",0.726868131868132,0.147290877895022,0.0288690120674243
"58",0.77,0.05,1,0.5,"baffler",0.05046875,0.0174035938555663,0.003411104395691
"59",0.77,0.5,1,0.5,"baffler",0.404479166666667,0.0783586573212466,0.0153582968349643
"60",0.77,1,1,0.5,"baffler",0.736510416666667,0.15309685852804,0.0300069842714958
"61",0.81,0.05,1,0.5,"baffler",0.0522772277227723,0.016862540324927,0.00330505790368569
"62",0.81,0.5,1,0.5,"baffler",0.400841584158416,0.07946208533923,0.0155745687264891
"63",0.81,1,1,0.5,"baffler",0.705148514851485,0.147984384502614,0.0290049393625123
"64",0.85,0.05,1,0.5,"baffler",0.0499056603773585,0.0156829098910246,0.00307385033864081
"65",0.85,0.5,1,0.5,"baffler",0.389716981132075,0.0798242821921213,0.0156455593096558
"66",0.85,1,1,0.5,"baffler",0.716839622641509,0.158537262433497,0.0310733034369653
"67",0.89,0.05,1,0.5,"baffler",0.051036036036036,0.014288382845447,0.00280052303770762
"68",0.89,0.5,1,0.5,"baffler",0.392117117117117,0.0816814182159198,0.0160095579703203
"69",0.89,1,1,0.5,"baffler",0.695630630630631,0.145050237892064,0.0284298466268446
"70",0.93,0.05,1,0.5,"baffler",0.0533189655172414,0.015971793029273,0.0031304714337375
"71",0.93,0.5,1,0.5,"baffler",0.398793103448276,0.0813908104266541,0.0159525988436242
"72",0.93,1,1,0.5,"baffler",0.708663793103448,0.152997273533917,0.0299874656126478
"73",0.97,0.05,1,0.5,"baffler",0.0489669421487603,0.0146876492410029,0.00287877925123657
"74",0.97,0.5,1,0.5,"baffler",0.386942148760331,0.0781998691848779,0.0153271743602361
"75",0.97,1,1,0.5,"baffler",0.699380165289256,0.139236033014727,0.0272902624708865
"76",0.01,0.05,1,0.5,"caller",0.0578321037176527,0.02259926599916,0.00442945613583537
"77",0.01,0.5,1,0.5,"caller",0.5149482355818,0.0781393868982456,0.0153153198320561
"78",0.01,1,1,0.5,"caller",0.938454673280426,0.135538240888934,0.026565495214231
"79",0.05,0.05,1,0.5,"caller",0.053649041264507,0.0203610626533767,0.00399076828006184
"80",0.05,0.5,1,0.5,"caller",0.507877948299013,0.0747129106593568,0.0146437304892339
"81",0.05,1,1,0.5,"caller",0.886761351560661,0.1565494076952,0.0306836839082592
"82",0.09,0.05,1,0.5,"caller",0.0595634502683292,0.0219137210441176,0.00429508932464705
"83",0.09,0.5,1,0.5,"caller",0.480330714222773,0.0904464827646286,0.0177275106218672
"84",0.09,1,1,0.5,"caller",0.913070207658587,0.150765770936795,0.0295500911036118
"85",0.13,0.05,1,0.5,"caller",0.0547883748811898,0.0251162450499387,0.00492278402978799
"86",0.13,0.5,1,0.5,"caller",0.480542641562332,0.086673669556163,0.0169880392330079
"87",0.13,1,1,0.5,"caller",0.841694866005507,0.157522005141836,0.0308743130077998
"88",0.17,0.05,1,0.5,"caller",0.0572762084669566,0.0238529822314424,0.00467518451736271
"89",0.17,0.5,1,0.5,"caller",0.471856356807099,0.0892606203439657,0.0174950815874173
"90",0.17,1,1,0.5,"caller",0.839795995694768,0.168543603133676,0.0330345462142005
"91",0.21,0.05,1,0.5,"caller",0.0556255698155551,0.0258479515300838,0.00506619849989642
"92",0.21,0.5,1,0.5,"caller",0.463417221487076,0.0896414906373248,0.0175697321649157
"93",0.21,1,1,0.5,"caller",0.837912485327826,0.172396800148877,0.0337897728291798
"94",0.25,0.05,1,0.5,"caller",0.054768512127066,0.0257665628571625,0.00505024632000386
"95",0.25,0.5,1,0.5,"caller",0.448681935722161,0.101175990732445,0.0198304941835593
"96",0.25,1,1,0.5,"caller",0.81575469943006,0.183018839557545,0.0358716925532788
"97",0.29,0.05,1,0.5,"caller",0.0545352752896741,0.0232307879798467,0.00455323444404994
"98",0.29,0.5,1,0.5,"caller",0.461459560342326,0.0998976819452317,0.0195799456612654
"99",0.29,1,1,0.5,"caller",0.786363059220918,0.183368365051113,0.0359401995500181
"100",0.33,0.05,1,0.5,"caller",0.0554572908358171,0.0234629775490522,0.00459874359961423
"101",0.33,0.5,1,0.5,"caller",0.450796519410977,0.10623950885595,0.0208229437357661
"102",0.33,1,1,0.5,"caller",0.793799368852361,0.193164465416553,0.0378602352216445
"103",0.37,0.05,1,0.5,"caller",0.0559025573582536,0.0266498778157426,0.00522337605188554
"104",0.37,0.5,1,0.5,"caller",0.450581045093037,0.094876739104305,0.0185958408644438
"105",0.37,1,1,0.5,"caller",0.769529496708044,0.182762752903559,0.0358214995690976
"106",0.41,0.05,1,0.5,"caller",0.062561088485746,0.0306284683896326,0.00600317980436798
"107",0.41,0.5,1,0.5,"caller",0.426354786437991,0.10992378847023,0.021545062540165
"108",0.41,1,1,0.5,"caller",0.750711560489681,0.18826850836078,0.0369006276387129
"109",0.45,0.05,1,0.5,"caller",0.0547150437072947,0.0302620846836185,0.00593136859798922
"110",0.45,0.5,1,0.5,"caller",0.412933287526562,0.0982131883912286,0.0192497849246808
"111",0.45,1,1,0.5,"caller",0.735955707396521,0.204438967246184,0.040070037580252
"112",0.49,0.05,1,0.5,"caller",0.0532424475166411,0.0296397718190895,0.00580939527654154
"113",0.49,0.5,1,0.5,"caller",0.405215133768561,0.102979388694858,0.0201839601841922
"114",0.49,1,1,0.5,"caller",0.777284226190476,0.186041789509859,0.0364641907439324
"115",0.53,0.05,1,0.5,"caller",0.0581013462938468,0.0346911987725404,0.00679947495941791
"116",0.53,0.5,1,0.5,"caller",0.421060783167738,0.116822712625457,0.0228972516745896
"117",0.53,1,1,0.5,"caller",0.745551537742661,0.190329766745469,0.0373046342821118
"118",0.57,0.05,1,0.5,"caller",0.0534001236359727,0.0304983984895943,0.00597768610396048
"119",0.57,0.5,1,0.5,"caller",0.424301187980433,0.111650739365862,0.021883544915709
"120",0.57,1,1,0.5,"caller",0.730706203300543,0.209179552487429,0.0409991922875361
"121",0.61,0.05,1,0.5,"caller",0.0506510529743813,0.0342392967588002,0.00671090216472484
"122",0.61,0.5,1,0.5,"caller",0.398625343754523,0.105063114437976,0.0205923704298434
"123",0.61,1,1,0.5,"caller",0.710231401071067,0.189762953054475,0.037193538798677
"124",0.65,0.05,1,0.5,"caller",0.0499161884627001,0.0353639447992153,0.0069313331806462
"125",0.65,0.5,1,0.5,"caller",0.403953488372093,0.122648855601135,0.0240391756978224
"126",0.65,1,1,0.5,"caller",0.708805496828753,0.206310326756078,0.0404368240441912
"127",0.69,0.05,1,0.5,"caller",0.0519345661450925,0.0373308848041956,0.00731685342162234
"128",0.69,0.5,1,0.5,"caller",0.389116089773984,0.124559804455139,0.0244137216732072
"129",0.69,1,1,0.5,"caller",0.699722617354196,0.230603235665664,0.0451982341904702
"130",0.73,0.05,1,0.5,"caller",0.053583444741533,0.0452748802269851,0.00887387652448908
"131",0.73,0.5,1,0.5,"caller",0.390854500891266,0.145322195740501,0.0284831503651383
"132",0.73,1,1,0.5,"caller",0.684366087344029,0.210409070947931,0.0412401779057945
"133",0.77,0.05,1,0.5,"caller",0.0552832512315271,0.0446990323679094,0.00876101034411024
"134",0.77,0.5,1,0.5,"caller",0.389371921182266,0.167870595047427,0.0329026366292956
"135",0.77,1,1,0.5,"caller",0.721576354679803,0.223350365854889,0.0437766717075583
"136",0.81,0.05,1,0.5,"caller",0.050054347826087,0.0414458219349862,0.0081233810992573
"137",0.81,0.5,1,0.5,"caller",0.386941699604743,0.160306648121256,0.0314201030317663
"138",0.81,1,1,0.5,"caller",0.692343544137022,0.228110634814771,0.0447096844236951
"139",0.85,0.05,1,0.5,"caller",0.0580994152046784,0.0472019936494477,0.00925159075529175
"140",0.85,0.5,1,0.5,"caller",0.384707602339181,0.168833902382743,0.0330914448670177
"141",0.85,1,1,0.5,"caller",0.731315789473684,0.285639875997349,0.0559854156954803
"142",0.89,0.05,1,0.5,"caller",0.06,0.0757835453323856,0.0148535748851476
"143",0.89,0.5,1,0.5,"caller",0.373186813186813,0.204576943490144,0.0400970809240683
"144",0.89,1,1,0.5,"caller",0.682912087912088,0.325520833978293,0.0638020834597454
"145",0.93,0.05,1,0.5,"caller",0.0512499999999999,0.0843026075270795,0.0165233110753076
"146",0.93,0.5,1,0.5,"caller",0.415416666666667,0.256555276004687,0.0502848340969187
"147",0.93,1,1,0.5,"caller",0.700694444444444,0.297086849134087,0.0582290224302811
"148",0.97,0.05,1,0.5,"caller",0.05,0.117851130197758,0.0230988215187606
"149",0.97,0.5,1,0.5,"caller",0.3275,0.325077690791763,0.0637152273951855
"150",0.97,1,1,0.5,"caller",0.681666666666667,0.513616498925584,0.100668833789414
"151",0.01,0.05,1,0.5,"silent",0.0366267281105991,0.0149927385854595,0.00293857676275006
"152",0.01,0.5,1,0.5,"silent",0.352355942120138,0.0615913353191451,0.0120719017225524
"153",0.01,1,1,0.5,"silent",0.686867399027238,0.0885443610177281,0.0173546947594747
"154",0.05,0.05,1,0.5,"silent",0.0393329221313587,0.0171372060086088,0.00335889237768733
"155",0.05,0.5,1,0.5,"silent",0.350977215327264,0.0666797283723049,0.0130692267609718
"156",0.05,1,1,0.5,"silent",0.672896479510379,0.112788450306163,0.0221065362600079
"157",0.09,0.05,1,0.5,"silent",0.0400551232709545,0.0189574849981747,0.00371566705964224
"158",0.09,0.5,1,0.5,"silent",0.341774323701847,0.0665796520140248,0.0130496117947489
"159",0.09,1,1,0.5,"silent",0.646572423639732,0.090966472358585,0.0178294285822827
"160",0.13,0.05,1,0.5,"silent",0.0325983498972393,0.0178996875568563,0.00350833876114383
"161",0.13,0.5,1,0.5,"silent",0.3397271056789,0.0725905511726844,0.0142277480298461
"162",0.13,1,1,0.5,"silent",0.655198724162027,0.103147552791365,0.0202169203471076
"163",0.17,0.05,1,0.5,"silent",0.0368430783053425,0.0185959321855339,0.00364480270836464
"164",0.17,0.5,1,0.5,"silent",0.328654761904762,0.0639692617583833,0.0125379753046431
"165",0.17,1,1,0.5,"silent",0.643783001589605,0.0897403163389341,0.0175891020024311
"166",0.21,0.05,1,0.5,"silent",0.0342630463046305,0.0226055730935665,0.00443069232633902
"167",0.21,0.5,1,0.5,"silent",0.323164329962408,0.073332156890821,0.0143731027506009
"168",0.21,1,1,0.5,"silent",0.637154837248431,0.11032109906319,0.0216229354163852
"169",0.25,0.05,1,0.5,"silent",0.0352769894617549,0.017023200112588,0.00333654722206724
"170",0.25,0.5,1,0.5,"silent",0.337172886530595,0.0749516520494652,0.0146905238016952
"171",0.25,1,1,0.5,"silent",0.649267094584454,0.117628458605373,0.0230551778866531
"172",0.29,0.05,1,0.5,"silent",0.0388245099317637,0.0212785172162447,0.00417058937438396
"173",0.29,0.5,1,0.5,"silent",0.323881501742029,0.0676572569125689,0.0132608223548635
"174",0.29,1,1,0.5,"silent",0.624264573129742,0.111113936966632,0.0217783316454599
"175",0.33,0.05,1,0.5,"silent",0.0366794967458442,0.0205125942211621,0.00402046846734778
"176",0.33,0.5,1,0.5,"silent",0.325655510480054,0.0799638171939248,0.0156729081700093
"177",0.33,1,1,0.5,"silent",0.611984512154355,0.108964105049998,0.0213569645897997
"178",0.37,0.05,1,0.5,"silent",0.0381711204875762,0.0211947405429542,0.00415416914641903
"179",0.37,0.5,1,0.5,"silent",0.328285328500261,0.0620046353593731,0.0121529085304371
"180",0.37,1,1,0.5,"silent",0.631031346361284,0.111569821012695,0.0218676849184882
"181",0.41,0.05,1,0.5,"silent",0.0351632481796865,0.0208225149118978,0.00408121292273198
"182",0.41,0.5,1,0.5,"silent",0.303708879752139,0.0730542650604119,0.0143186359518407
"183",0.41,1,1,0.5,"silent",0.602486243561514,0.122822420460151,0.0240731944101895
"184",0.45,0.05,1,0.5,"silent",0.0344269092817776,0.0211617177849784,0.00414769668585576
"185",0.45,0.5,1,0.5,"silent",0.314265564400898,0.0745957923014876,0.0146207752910916
"186",0.45,1,1,0.5,"silent",0.616882991183818,0.117418448891317,0.0230140159826981
"187",0.49,0.05,1,0.5,"silent",0.039464087995338,0.0262646728062828,0.00514787587003142
"188",0.49,0.5,1,0.5,"silent",0.299207677738928,0.0858919370042716,0.0168348196528372
"189",0.49,1,1,0.5,"silent",0.607805288461538,0.11209948891121,0.0219714998265972
"190",0.53,0.05,1,0.5,"silent",0.0365203297212189,0.0275129602624308,0.00539254021143644
"191",0.53,0.5,1,0.5,"silent",0.301028248587571,0.083552061290663,0.0163762040129699
"192",0.53,1,1,0.5,"silent",0.63142315368367,0.140541621483504,0.0275461578107667
"193",0.57,0.05,1,0.5,"silent",0.0350491709548313,0.0266747682058939,0.0052282545683552
"194",0.57,0.5,1,0.5,"silent",0.314395527603075,0.0951563483246721,0.0186506442716357
"195",0.57,1,1,0.5,"silent",0.604540562861318,0.146992561684909,0.0288105420902422
"196",0.61,0.05,1,0.5,"silent",0.0354618647458984,0.0277450648699945,0.00543803271451892
"197",0.61,0.5,1,0.5,"silent",0.316750140056022,0.10660344904031,0.0208942760119008
"198",0.61,1,1,0.5,"silent",0.604100760304122,0.146636058643013,0.0287406674940306
"199",0.65,0.05,1,0.5,"silent",0.0328445322793149,0.0302411446284565,0.00592726434717747
"200",0.65,0.5,1,0.5,"silent",0.317407553798858,0.0990753406562583,0.0194187667686266
"201",0.65,1,1,0.5,"silent",0.623292929292929,0.153447298196449,0.030075670446504
"202",0.69,0.05,1,0.5,"silent",0.0376025641025641,0.032193316472712,0.00630989002865156
"203",0.69,0.5,1,0.5,"silent",0.294689649781113,0.0982874434861603,0.0192643389232874
"204",0.69,1,1,0.5,"silent",0.597205128205128,0.152564497593398,0.029902641528306
"205",0.73,0.05,1,0.5,"silent",0.0381764705882353,0.0335606186620639,0.00657788125776453
"206",0.73,0.5,1,0.5,"silent",0.30944304388422,0.116200561127118,0.0227753099809152
"207",0.73,1,1,0.5,"silent",0.628967787114846,0.164917747742722,0.0323238785575735
"208",0.77,0.05,1,0.5,"silent",0.0351149425287357,0.0366508964840708,0.00718357571087788
"209",0.77,0.5,1,0.5,"silent",0.295264367816092,0.100341160215882,0.0196668674023129
"210",0.77,1,1,0.5,"silent",0.622448275862069,0.185908332309113,0.0364380331325861
"211",0.81,0.05,1,0.5,"silent",0.03455,0.0335237448722266,0.00657065399495641
"212",0.81,0.5,1,0.5,"silent",0.307560256410256,0.113618752379858,0.0222692754664522
"213",0.81,1,1,0.5,"silent",0.606229487179487,0.207980412003487,0.0407641607526835
"214",0.85,0.05,1,0.5,"silent",0.0372393483709273,0.0383140787128499,0.00750955942771857
"215",0.85,0.5,1,0.5,"silent",0.291578947368421,0.133650361787425,0.0261954709103352
"216",0.85,1,1,0.5,"silent",0.601078947368421,0.226943633835027,0.0444809522316653
"217",0.89,0.05,1,0.5,"silent",0.0378571428571429,0.055099654849585,0.0107995323505187
"218",0.89,0.5,1,0.5,"silent",0.311285714285714,0.172235893619528,0.0337582351494275
"219",0.89,1,1,0.5,"silent",0.579095238095238,0.287672378779299,0.0563837862407425
"220",0.93,0.05,1,0.5,"silent",0.0308888888888889,0.0585730470917866,0.0114803172299902
"221",0.93,0.5,1,0.5,"silent",0.278222222222222,0.200566102424054,0.0393109560751147
"222",0.93,1,1,0.5,"silent",0.641,0.342171257883988,0.0670655665452616
"223",0.97,0.05,1,0.5,"silent",0.0325,0.0844994172474078,0.0165618857804919
"224",0.97,0.5,1,0.5,"silent",0.34,0.354480698567024,0.0694782169191368
"225",0.97,1,1,0.5,"silent",0.5975,0.479076078393494,0.0938989113651248
