"","baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
"1",0.01,0.5,1,0.5,"baffler",0.39,0.429822608464788,0.0842452312590985
"2",0.05,0.5,1,0.5,"baffler",0.373333333333333,0.206338938583481,0.0404424319623623
"3",0.09,0.5,1,0.5,"baffler",0.374545454545455,0.160103689583705,0.0313803231584062
"4",0.13,0.5,1,0.5,"baffler",0.3675,0.116514375711647,0.0228368176394827
"5",0.17,0.5,1,0.5,"baffler",0.359047619047619,0.110577982992675,0.0216732846665644
"6",0.21,0.5,1,0.5,"baffler",0.347547169811321,0.0936003048987758,0.0183456597601601
"7",0.25,0.5,1,0.5,"baffler",0.331290322580645,0.10284069985192,0.0201567771709763
"8",0.29,0.5,1,0.5,"baffler",0.333561643835616,0.101421364708336,0.0198785874828338
"9",0.33,0.5,1,0.5,"baffler",0.33890243902439,0.106629172808448,0.0208993178704557
"10",0.37,0.5,1,0.5,"baffler",0.31695652173913,0.100725822497084,0.0197422612094284
"11",0.41,0.5,1,0.5,"baffler",0.320485436893204,0.091529605402626,0.0179398026589147
"12",0.45,0.5,1,0.5,"baffler",0.316428571428571,0.0922341460824909,0.0180778926321682
"13",0.49,0.5,1,0.5,"baffler",0.321475409836066,0.0950024220313005,0.0186204747181349
"14",0.53,0.5,1,0.5,"baffler",0.300378787878788,0.100419387288267,0.0196821999085002
"15",0.57,0.5,1,0.5,"baffler",0.296713286713287,0.0832557131871643,0.0163181197846842
"16",0.61,0.5,1,0.5,"baffler",0.2875,0.0786727680467197,0.0154198625371571
"17",0.65,0.5,1,0.5,"baffler",0.290987654320988,0.0731381830020589,0.0143350838684035
"18",0.69,0.5,1,0.5,"baffler",0.283815028901734,0.0895317862926944,0.0175482301133681
"19",0.73,0.5,1,0.5,"baffler",0.284175824175824,0.0815119518386719,0.0159763425603797
"20",0.77,0.5,1,0.5,"baffler",0.269427083333333,0.0964550102464793,0.0189051820083099
"21",0.81,0.5,1,0.5,"baffler",0.271584158415842,0.0927061686232142,0.01817040905015
"22",0.85,0.5,1,0.5,"baffler",0.272122641509434,0.0926247196362599,0.0181544450487069
"23",0.89,0.5,1,0.5,"baffler",0.26545045045045,0.0834215321527936,0.0163506203019476
"24",0.93,0.5,1,0.5,"baffler",0.265862068965517,0.0953346060405199,0.0186855827839419
"25",0.97,0.5,1,0.5,"baffler",0.259876033057851,0.0902003483885065,0.0176792682841473
"26",0.01,0.5,1,0.5,"caller",0.430639468552755,0.0764905969577684,0.0149921570037226
"27",0.05,0.5,1,0.5,"caller",0.405541748402219,0.0800363266320678,0.0156871200198853
"28",0.09,0.5,1,0.5,"caller",0.399408559735894,0.0826420983359109,0.0161978512738385
"29",0.13,0.5,1,0.5,"caller",0.368474661068981,0.0844681126460989,0.0165557500786354
"30",0.17,0.5,1,0.5,"caller",0.370425086763608,0.0857609674097454,0.0168091496123101
"31",0.21,0.5,1,0.5,"caller",0.361585309693601,0.0891416755696686,0.017471768411655
"32",0.25,0.5,1,0.5,"caller",0.352903748023037,0.0955607623078768,0.0187299094123438
"33",0.29,0.5,1,0.5,"caller",0.337630160870939,0.100122640083445,0.0196240374563551
"34",0.33,0.5,1,0.5,"caller",0.342052708187246,0.0940727260937147,0.0184382543143681
"35",0.37,0.5,1,0.5,"caller",0.323936506531443,0.0931219716792017,0.0182519064491235
"36",0.41,0.5,1,0.5,"caller",0.330692490435641,0.114982673549474,0.0225366040156969
"37",0.45,0.5,1,0.5,"caller",0.307471688870227,0.10947951378565,0.0214579847019874
"38",0.49,0.5,1,0.5,"caller",0.310698604710701,0.10935592897648,0.0214337620793901
"39",0.53,0.5,1,0.5,"caller",0.303651040224758,0.104383821092911,0.0204592289342107
"40",0.57,0.5,1,0.5,"caller",0.305288394344998,0.139387355473442,0.0273199216727947
"41",0.61,0.5,1,0.5,"caller",0.283540671587784,0.117013523064306,0.0229346505206039
"42",0.65,0.5,1,0.5,"caller",0.289095187757978,0.116226610359915,0.0227804156305434
"43",0.69,0.5,1,0.5,"caller",0.302773826458037,0.121309021515529,0.0237765682170436
"44",0.73,0.5,1,0.5,"caller",0.303110516934046,0.135686553850511,0.0265945645547002
"45",0.77,0.5,1,0.5,"caller",0.281514778325123,0.131112157970343,0.0256979829621872
"46",0.81,0.5,1,0.5,"caller",0.267109683794466,0.151751628743982,0.0297433192338204
"47",0.85,0.5,1,0.5,"caller",0.283106295149639,0.146622363654729,0.0287379832763269
"48",0.89,0.5,1,0.5,"caller",0.291648351648352,0.18067369988407,0.0354120451772777
"49",0.93,0.5,1,0.5,"caller",0.253333333333333,0.185942475151174,0.03644472512963
"50",0.97,0.5,1,0.5,"caller",0.24,0.272752524083535,0.0534594947203729
"51",0.01,0.5,1,0.5,"silent",0.262371729259649,0.0572364020918605,0.0112183348100047
"52",0.05,0.5,1,0.5,"silent",0.26210326963735,0.0484425937619705,0.00949474837734622
"53",0.09,0.5,1,0.5,"silent",0.247370245866151,0.0498843660458741,0.00977733574499133
"54",0.13,0.5,1,0.5,"silent",0.243131225828474,0.0561584441578603,0.0110070550549406
"55",0.17,0.5,1,0.5,"silent",0.249820374593959,0.0619345761300007,0.0121391769214801
"56",0.21,0.5,1,0.5,"silent",0.236627870434102,0.0668552095832082,0.0131036210783088
"57",0.25,0.5,1,0.5,"silent",0.224220418066443,0.0570096901033824,0.011173899260263
"58",0.29,0.5,1,0.5,"silent",0.22882905982906,0.0674117510018594,0.0132127031963644
"59",0.33,0.5,1,0.5,"silent",0.228819858978074,0.068989215916401,0.0135218863196146
"60",0.37,0.5,1,0.5,"silent",0.233151175964995,0.0725626231983422,0.0142222741468751
"61",0.41,0.5,1,0.5,"silent",0.224781636430952,0.0839021971010144,0.0164448306317988
"62",0.45,0.5,1,0.5,"silent",0.223048377219841,0.0707229383710459,0.013861695920725
"63",0.49,0.5,1,0.5,"silent",0.223205055361305,0.0749482213807281,0.0146898513906227
"64",0.53,0.5,1,0.5,"silent",0.204704408632027,0.0698367425888232,0.0136880015474093
"65",0.57,0.5,1,0.5,"silent",0.210432945810304,0.0812407103398351,0.0159231792266077
"66",0.61,0.5,1,0.5,"silent",0.215679791916767,0.0755055145251815,0.0147990808469356
"67",0.65,0.5,1,0.5,"silent",0.212042599912165,0.0856433389129392,0.0167860944269361
"68",0.69,0.5,1,0.5,"silent",0.203576923076923,0.0900088662637364,0.0176417377876923
"69",0.73,0.5,1,0.5,"silent",0.211966386554622,0.0943922896951782,0.0185008887802549
"70",0.77,0.5,1,0.5,"silent",0.212390804597701,0.107790194530664,0.0211268781280101
"71",0.81,0.5,1,0.5,"silent",0.208988461538462,0.10086151567029,0.0197688570713768
"72",0.85,0.5,1,0.5,"silent",0.211239348370927,0.120763314327938,0.0236696096082758
"73",0.89,0.5,1,0.5,"silent",0.229761904761905,0.134702948060957,0.0264017778199475
"74",0.93,0.5,1,0.5,"silent",0.221222222222222,0.182970562418002,0.0358622302339284
"75",0.97,0.5,1,0.5,"silent",0.22,0.246899971566616,0.0483923944270568
