"","baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
"1",0.01,0.5,1,0.5,"baffler",0.37,0.490413142671616,0.0961209759636367
"2",0.05,0.5,1,0.5,"baffler",0.296666666666667,0.169305705744831,0.0331839183259869
"3",0.09,0.5,1,0.5,"baffler",0.299545454545455,0.131786513405656,0.0258301566275085
"4",0.13,0.5,1,0.5,"baffler",0.2978125,0.123368055999767,0.0241801389759543
"5",0.17,0.5,1,0.5,"baffler",0.305,0.108170476831689,0.021201413459011
"6",0.21,0.5,1,0.5,"baffler",0.275471698113208,0.102048308827093,0.0200014685301101
"7",0.25,0.5,1,0.5,"baffler",0.274193548387097,0.104251179729383,0.0204332312269591
"8",0.29,0.5,1,0.5,"baffler",0.273424657534247,0.102324607603165,0.0200556230902203
"9",0.33,0.5,1,0.5,"baffler",0.266829268292683,0.0902382424997763,0.0176866955299561
"10",0.37,0.5,1,0.5,"baffler",0.248478260869565,0.0797852682289754,0.0156379125728792
"11",0.41,0.5,1,0.5,"baffler",0.238252427184466,0.0860270522776823,0.0168613022464257
"12",0.45,0.5,1,0.5,"baffler",0.249375,0.0901853575661605,0.0176763300829675
"13",0.49,0.5,1,0.5,"baffler",0.235901639344262,0.0882704735858803,0.0173010128228325
"14",0.53,0.5,1,0.5,"baffler",0.238106060606061,0.0838586760599536,0.0164363005077509
"15",0.57,0.5,1,0.5,"baffler",0.233146853146853,0.0750885417134261,0.0147173541758315
"16",0.61,0.5,1,0.5,"baffler",0.228486842105263,0.0857629481126778,0.0168095378300849
"17",0.65,0.5,1,0.5,"baffler",0.225925925925926,0.0788168644315394,0.0154481054285817
"18",0.69,0.5,1,0.5,"baffler",0.22150289017341,0.0825430222295424,0.0161784323569903
"19",0.73,0.5,1,0.5,"baffler",0.215934065934066,0.0780818325879271,0.0153040391872337
"20",0.77,0.5,1,0.5,"baffler",0.217604166666667,0.0788861629695142,0.0154616879420248
"21",0.81,0.5,1,0.5,"baffler",0.224009900990099,0.0833036220958964,0.0163275099307957
"22",0.85,0.5,1,0.5,"baffler",0.21561320754717,0.0868301861737263,0.0170187164900504
"23",0.89,0.5,1,0.5,"baffler",0.206216216216216,0.0752702350084074,0.0147529660616478
"24",0.93,0.5,1,0.5,"baffler",0.20323275862069,0.0780741819071413,0.0153025396537997
"25",0.97,0.5,1,0.5,"baffler",0.205578512396694,0.0739438068024322,0.0144929861332767
