"","baffle_prop","density","bush_density","df.prop_males","tactic","mean_success","sd","ci"
"1",0.01,0.01,0,0.5,"baffler",0.115,0.234143614739399,0.0458921484889223
"2",0.01,0.05,0,0.5,"baffler",0.4,0.443812682299297,0.0869872857306623
"3",0.01,0.1,0,0.5,"baffler",0.42,0.496044963748858,0.0972248128947762
"4",0.01,0.25,0,0.5,"baffler",0.655,0.593291622640122,0.116285158037464
"5",0.01,0.5,0,0.5,"baffler",1.035,0.964666164059261,0.189074568155615
"6",0.01,0.75,0,0.5,"baffler",1.24,1.13146012753522,0.221766184996903
"7",0.01,1,0,0.5,"baffler",1.255,1.06953921920336,0.209629686963859
"8",0.05,0.01,0,0.5,"baffler",0.105833333333333,0.0968463151297392,0.0189818777654289
"9",0.05,0.05,0,0.5,"baffler",0.3275,0.214922727742117,0.0421248546374549
"10",0.05,0.1,0,0.5,"baffler",0.491666666666667,0.309886659704924,0.060737785302165
"11",0.05,0.25,0,0.5,"baffler",0.733333333333334,0.471553299245357,0.0924244466520899
"12",0.05,0.5,0,0.5,"baffler",0.9375,0.591438994466111,0.115922042915358
"13",0.05,0.75,0,0.5,"baffler",1.065,0.666306721011162,0.130596117318188
"14",0.05,1,0,0.5,"baffler",1.19333333333333,0.720946814795869,0.14130557569999
"15",0.09,0.01,0,0.5,"baffler",0.110909090909091,0.0731849693325414,0.0143442539891781
"16",0.09,0.05,0,0.5,"baffler",0.330909090909091,0.170941911156194,0.033504614586614
"17",0.09,0.1,0,0.5,"baffler",0.486363636363636,0.244780218506114,0.0479769228271983
"18",0.09,0.25,0,0.5,"baffler",0.646818181818182,0.392764458923758,0.0769818339490565
"19",0.09,0.5,0,0.5,"baffler",0.814545454545455,0.468637390124451,0.0918529284643923
"20",0.09,0.75,0,0.5,"baffler",0.995909090909091,0.594029867455614,0.1164298540213
"21",0.09,1,0,0.5,"baffler",1.05727272727273,0.634281652574433,0.124319203904589
"22",0.13,0.01,0,0.5,"baffler",0.0921875,0.0548282370179358,0.0107463344555154
"23",0.13,0.05,0,0.5,"baffler",0.2940625,0.146447233296336,0.0287036577260819
"24",0.13,0.1,0,0.5,"baffler",0.4121875,0.189524789079173,0.0371468586595179
"25",0.13,0.25,0,0.5,"baffler",0.59625,0.309858787892716,0.0607323224269724
"26",0.13,0.5,0,0.5,"baffler",0.7384375,0.480536887208916,0.0941852298929475
"27",0.13,0.75,0,0.5,"baffler",0.900625,0.609844338165838,0.119529490280504
"28",0.13,1,0,0.5,"baffler",1.04875,0.687977910109024,0.134843670381369
"29",0.17,0.01,0,0.5,"baffler",0.0969047619047619,0.0453089240715077,0.0088805491180155
"30",0.17,0.05,0,0.5,"baffler",0.270952380952381,0.133952899826584,0.0262547683660104
"31",0.17,0.1,0,0.5,"baffler",0.377857142857143,0.201481463166074,0.0394903667805504
"32",0.17,0.25,0,0.5,"baffler",0.537619047619048,0.354756820324412,0.0695323367835848
"33",0.17,0.5,0,0.5,"baffler",0.707380952380953,0.48629603044023,0.0953140219662851
"34",0.17,0.75,0,0.5,"baffler",0.815476190476191,0.555507882926759,0.108879545053645
"35",0.17,1,0,0.5,"baffler",0.947619047619048,0.632770529699105,0.124023023821025
"36",0.21,0.01,0,0.5,"baffler",0.090943396226415,0.046401596473011,0.00909471290871015
"37",0.21,0.05,0,0.5,"baffler",0.270566037735849,0.119488429181419,0.0234197321195581
"38",0.21,0.1,0,0.5,"baffler",0.362452830188679,0.203148194337628,0.039817046090175
"39",0.21,0.25,0,0.5,"baffler",0.499622641509434,0.328486505269302,0.0643833550327832
"40",0.21,0.5,0,0.5,"baffler",0.65622641509434,0.447731764670057,0.0877554258753311
"41",0.21,0.75,0,0.5,"baffler",0.789811320754717,0.559424039216876,0.109647111686508
"42",0.21,1,0,0.5,"baffler",0.866792452830189,0.64367966629913,0.126161214594629
"43",0.25,0.01,0,0.5,"baffler",0.0912903225806452,0.046657476199949,0.00914486533519
"44",0.25,0.05,0,0.5,"baffler",0.249354838709677,0.138280877296419,0.0271030519500982
"45",0.25,0.1,0,0.5,"baffler",0.344032258064516,0.185677573216919,0.036392804350516
"46",0.25,0.25,0,0.5,"baffler",0.479516129032258,0.325757047765913,0.0638483813621189
"47",0.25,0.5,0,0.5,"baffler",0.616935483870968,0.442189630647379,0.0866691676068863
"48",0.25,0.75,0,0.5,"baffler",0.720161290322581,0.551480431845692,0.108090164641756
"49",0.25,1,0,0.5,"baffler",0.806774193548387,0.610987986973718,0.119753645446849
"50",0.29,0.01,0,0.5,"baffler",0.0863013698630137,0.0373252918433607,0.00731575720129869
"51",0.29,0.05,0,0.5,"baffler",0.238493150684931,0.125491049825265,0.024596245765752
"52",0.29,0.1,0,0.5,"baffler",0.320821917808219,0.191980168785528,0.0376281130819636
"53",0.29,0.25,0,0.5,"baffler",0.453150684931507,0.295787640573434,0.0579743775523932
"54",0.29,0.5,0,0.5,"baffler",0.586164383561644,0.43042894046324,0.084364072330795
"55",0.29,0.75,0,0.5,"baffler",0.668767123287671,0.50530574723252,0.0990399264575738
"56",0.29,1,0,0.5,"baffler",0.761095890410959,0.619737554453214,0.12146856067283
"57",0.33,0.01,0,0.5,"baffler",0.090609756097561,0.036079070459163,0.00707149780999594
"58",0.33,0.05,0,0.5,"baffler",0.230487804878049,0.11943071569758,0.0234084202767256
"59",0.33,0.1,0,0.5,"baffler",0.30390243902439,0.17981403440008,0.0352435507424158
"60",0.33,0.25,0,0.5,"baffler",0.433780487804878,0.290059975344575,0.0568517551675366
"61",0.33,0.5,0,0.5,"baffler",0.565487804878049,0.418243837816048,0.0819757922119453
"62",0.33,0.75,0,0.5,"baffler",0.682317073170732,0.521214753168899,0.102158091621104
"63",0.33,1,0,0.5,"baffler",0.718536585365854,0.540039276939249,0.105847698280093
"64",0.37,0.01,0,0.5,"baffler",0.0854347826086956,0.0376855931312713,0.00738637625372917
"65",0.37,0.05,0,0.5,"baffler",0.209565217391304,0.109495083896452,0.0214610364437045
"66",0.37,0.1,0,0.5,"baffler",0.290652173913043,0.186288523809775,0.0365125506667159
"67",0.37,0.25,0,0.5,"baffler",0.419673913043478,0.295542420501331,0.0579263144182608
"68",0.37,0.5,0,0.5,"baffler",0.530108695652174,0.414381529504422,0.0812187797828668
"69",0.37,0.75,0,0.5,"baffler",0.638260869565217,0.480061786740841,0.0940921102012048
"70",0.37,1,0,0.5,"baffler",0.680760869565217,0.538729040707406,0.105590891978652
"71",0.41,0.01,0,0.5,"baffler",0.088252427184466,0.0344182299033803,0.00674597306106254
"72",0.41,0.05,0,0.5,"baffler",0.199320388349514,0.107798438161441,0.0211284938796425
"73",0.41,0.1,0,0.5,"baffler",0.265825242718447,0.171916257124705,0.0336955863964422
"74",0.41,0.25,0,0.5,"baffler",0.399126213592233,0.294150287797602,0.05765345640833
"75",0.41,0.5,0,0.5,"baffler",0.486407766990291,0.371438454481632,0.0728019370784
"76",0.41,0.75,0,0.5,"baffler",0.582718446601942,0.472983297257646,0.0927047262624985
"77",0.41,1,0,0.5,"baffler",0.659902912621359,0.520472386689846,0.10201258779121
"78",0.45,0.01,0,0.5,"baffler",0.0829464285714286,0.0365454994308997,0.00716291788845633
"79",0.45,0.05,0,0.5,"baffler",0.198839285714286,0.112801902281925,0.0221091728472573
"80",0.45,0.1,0,0.5,"baffler",0.268928571428571,0.171074030623657,0.0335305100022368
"81",0.45,0.25,0,0.5,"baffler",0.366785714285714,0.275652208168316,0.0540278328009899
"82",0.45,0.5,0,0.5,"baffler",0.49125,0.383910701285512,0.0752464974519604
"83",0.45,0.75,0,0.5,"baffler",0.571875,0.470418507160921,0.0922020274035405
"84",0.45,1,0,0.5,"baffler",0.630357142857143,0.509991516738189,0.099958337280685
"85",0.49,0.01,0,0.5,"baffler",0.0798360655737705,0.0338986054143062,0.00664412666120401
"86",0.49,0.05,0,0.5,"baffler",0.192213114754098,0.106173758878543,0.0208100567401944
"87",0.49,0.1,0,0.5,"baffler",0.256803278688525,0.162646267838673,0.0318786684963799
"88",0.49,0.25,0,0.5,"baffler",0.360655737704918,0.269691520625092,0.052859538042518
"89",0.49,0.5,0,0.5,"baffler",0.462540983606557,0.355800720955721,0.0697369413073212
