"baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
0.01,0.01,0,0.5,"baffler",0.15,0.261116483933547,0.0511788308509752
0.01,0.01,0,0.5,"caller",0.0443611168347022,0.0197475880444122,0.00387052725670479
0.01,0.01,0,0.5,"silent",0.0024955245916841,0.00467817237351753,0.000916921785209436
0.01,0.05,0,0.5,"baffler",0.33,0.439352140122593,0.0861130194640283
0.01,0.05,0,0.5,"caller",0.150284119116949,0.0513368088673972,0.0100620145380099
0.01,0.05,0,0.5,"silent",0.0103731268344481,0.0097236932726968,0.00190584388144857
0.01,0.1,0,0.5,"baffler",0.585,0.623832242407097,0.122271119511791
0.01,0.1,0,0.5,"caller",0.220828972294939,0.0895237707883581,0.0175466590745182
0.01,0.1,0,0.5,"silent",0.0154393557575746,0.0109462195016136,0.00214545902231627
0.01,0.25,0,0.5,"baffler",0.84,0.828409697108035,0.162368300633175
0.01,0.25,0,0.5,"caller",0.3610563142556,0.198897510050869,0.0389839119699704
0.01,0.25,0,0.5,"silent",0.0363072296608085,0.0201885806273469,0.00395696180295999
0.01,0.5,0,0.5,"baffler",0.945,0.837549938206612,0.164159787888496
0.01,0.5,0,0.5,"caller",0.477608903750328,0.295378587763872,0.0578942032017189
0.01,0.5,0,0.5,"silent",0.0599309274193548,0.0283782660922716,0.00556214015408524
0.01,0.75,0,0.5,"baffler",1.16,0.864215648359069,0.169386267078378
0.01,0.75,0,0.5,"caller",0.601930159749839,0.357475224659735,0.070065144033308
0.01,0.75,0,0.5,"silent",0.0889785342683979,0.0357691442116481,0.00701075226548303
0.01,1,0,0.5,"baffler",1.29,1.18317327129165,0.231901961173164
0.01,1,0,0.5,"caller",0.663277589524041,0.388442857772725,0.0761348001234542
0.01,1,0,0.5,"silent",0.125228504178913,0.0517260154884762,0.0101382990357413
0.05,0.01,0,0.5,"baffler",0.113333333333333,0.0936538508073415,0.0183561547582389
0.05,0.01,0,0.5,"caller",0.0418593745757472,0.017215250731674,0.0033741891434081
0.05,0.01,0,0.5,"silent",0.00176330532212885,0.00343728439740342,0.000673707741891071
0.05,0.05,0,0.5,"baffler",0.338333333333333,0.203373622988571,0.0398612301057598
0.05,0.05,0,0.5,"caller",0.13426566578499,0.0539487941579925,0.0105739636549665
0.05,0.05,0,0.5,"silent",0.00897697065119133,0.00828958154910688,0.00162475798362495
0.05,0.1,0,0.5,"baffler",0.445,0.252712556798503,0.0495316611325065
0.05,0.1,0,0.5,"caller",0.199016686939728,0.098676947180812,0.0193406816474391
0.05,0.1,0,0.5,"silent",0.0154981298033371,0.0129430231515305,0.00253683253769997
0.05,0.25,0,0.5,"baffler",0.669166666666667,0.381873041994352,0.074847116230893
0.05,0.25,0,0.5,"caller",0.304814451372512,0.186577722002928,0.0365692335125739
0.05,0.25,0,0.5,"silent",0.0367468068794891,0.0235437046201979,0.00461456610555878
0.05,0.5,0,0.5,"baffler",0.97,0.635147145742804,0.12448884056559
0.05,0.5,0,0.5,"caller",0.402429128974493,0.273717745629757,0.0536486781434324
0.05,0.5,0,0.5,"silent",0.0665990520175012,0.0318983756207208,0.00625208162166127
0.05,0.75,0,0.5,"baffler",1.12666666666667,0.632819213620149,0.124032565869549
0.05,0.75,0,0.5,"caller",0.520612448369178,0.362450023958701,0.0710402046959055
0.05,0.75,0,0.5,"silent",0.0919229691876751,0.0374821432850116,0.00734650008386226
0.05,1,0,0.5,"baffler",1.16833333333333,0.673573231258164,0.1320203533266
0.05,1,0,0.5,"caller",0.564386796139727,0.406248790544849,0.0796247629467904
0.05,1,0,0.5,"silent",0.124137167615996,0.0446579479932171,0.00875295780667055
0.09,0.01,0,0.5,"baffler",0.0959090909090909,0.0698510095574024,0.0136907978732509
0.09,0.01,0,0.5,"caller",0.038377664293477,0.0190933844486428,0.00374230335193398
0.09,0.01,0,0.5,"silent",0.00192982456140351,0.00459454420346889,0.000900530663879903
0.09,0.05,0,0.5,"baffler",0.317727272727273,0.152817406391206,0.0299522116526763
0.09,0.05,0,0.5,"caller",0.120970946785164,0.0532148237847618,0.0104301054618133
0.09,0.05,0,0.5,"silent",0.00787428586651343,0.0080131983026596,0.00157058686732128
0.09,0.1,0,0.5,"baffler",0.437272727272727,0.239373015788895,0.0469171110946234
0.09,0.1,0,0.5,"caller",0.172893176420482,0.0911762599720399,0.0178705469545198
0.09,0.1,0,0.5,"silent",0.0160048518250996,0.0115306303923951,0.00226000355690945
0.09,0.25,0,0.5,"baffler",0.645909090909091,0.399687612803675,0.0783387721095203
0.09,0.25,0,0.5,"caller",0.255404814580699,0.172057232208118,0.0337232175127912
0.09,0.25,0,0.5,"silent",0.0339017596464925,0.0201597071890649,0.00395130260905672
0.09,0.5,0,0.5,"baffler",0.870909090909091,0.548382103826622,0.107482892350018
0.09,0.5,0,0.5,"caller",0.367574216499752,0.257731571352778,0.0505153879851445
0.09,0.5,0,0.5,"silent",0.0656808947078418,0.0334092340514721,0.00654820987408854
0.09,0.75,0,0.5,"baffler",0.967727272727273,0.581790023136315,0.114030844534718
0.09,0.75,0,0.5,"caller",0.447534746636982,0.338631553434935,0.0663717844732472
0.09,0.75,0,0.5,"silent",0.0934003861766822,0.0348489046426771,0.00683038530996472
0.09,1,0,0.5,"baffler",1.09227272727273,0.683253921463628,0.133917768606871
0.09,1,0,0.5,"caller",0.512475450240646,0.36416325793389,0.0713759985550425
0.09,1,0,0.5,"silent",0.123076803703411,0.0459824208271226,0.00901255448211602
0.13,0.01,0,0.5,"baffler",0.114375,0.0645527786959921,0.0126523446244145
0.13,0.01,0,0.5,"caller",0.0383371149950511,0.017870722182635,0.00350266154779646
0.13,0.01,0,0.5,"silent",0.00155631194163304,0.00369401481895368,0.000724026904514921
0.13,0.05,0,0.5,"baffler",0.2896875,0.130698320488579,0.0256168708157615
0.13,0.05,0,0.5,"caller",0.113087311268178,0.051121388368102,0.010019792120148
0.13,0.05,0,0.5,"silent",0.00823202438110695,0.0103669326208723,0.00203191879369098
0.13,0.1,0,0.5,"baffler",0.41,0.230851246433278,0.0452468443009225
0.13,0.1,0,0.5,"caller",0.155504454739384,0.0986649214535288,0.0193383246048916
0.13,0.1,0,0.5,"silent",0.0146532233263885,0.0126213808653019,0.00247379064959918
0.13,0.25,0,0.5,"baffler",0.595,0.348945471269068,0.0683933123687373
0.13,0.25,0,0.5,"caller",0.242333209484886,0.165236343974493,0.0323863234190006
0.13,0.25,0,0.5,"silent",0.0324462502535897,0.0185115893508835,0.00362827151277316
0.13,0.5,0,0.5,"baffler",0.761875,0.485319114921389,0.0951225465245923
0.13,0.5,0,0.5,"caller",0.326826353815508,0.252092553272758,0.0494101404414605
0.13,0.5,0,0.5,"silent",0.0625338314097753,0.0289944060929748,0.00568290359422307
0.13,0.75,0,0.5,"baffler",0.9003125,0.592139545745005,0.116059350966021
0.13,0.75,0,0.5,"caller",0.385468417058059,0.283784634324335,0.0556217883275697
0.13,0.75,0,0.5,"silent",0.0897610245775384,0.0364947491907912,0.00715297084139507
0.13,1,0,0.5,"baffler",1.0128125,0.653834464361291,0.128151555014813
0.13,1,0,0.5,"caller",0.465366575676704,0.348141567218045,0.0682357471747368
0.13,1,0,0.5,"silent",0.119308445583675,0.0417957797673316,0.00819197283439699
0.17,0.01,0,0.5,"baffler",0.103333333333333,0.0464281089258053,0.00909990934945784
0.17,0.01,0,0.5,"caller",0.0405487444740169,0.0231322536958071,0.00453392172437818
0.17,0.01,0,0.5,"silent",0.00162734072780802,0.00452734261637654,0.000887359152809801
0.17,0.05,0,0.5,"baffler",0.274761904761905,0.136436606754077,0.0267415749237991
0.17,0.05,0,0.5,"caller",0.10413340728375,0.0629797405886657,0.0123440291553785
0.17,0.05,0,0.5,"silent",0.0071969555601631,0.00867193035934357,0.00169969835043134
0.17,0.1,0,0.5,"baffler",0.383571428571429,0.224271498279567,0.0439572136627952
0.17,0.1,0,0.5,"caller",0.139432541104789,0.0920096220138566,0.0180338859147159
0.17,0.1,0,0.5,"silent",0.0149799734592099,0.01245976514262,0.00244211396795351
