"","baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
"1",0.01,0.5,1,0.5,"baffler",0.41,0.434497271323859,0.0851614651794763
"2",0.05,0.5,1,0.5,"baffler",0.378333333333333,0.197990749027162,0.0388061868093238
"3",0.09,0.5,1,0.5,"baffler",0.361818181818182,0.14256191692949,0.0279421357181801
"4",0.13,0.5,1,0.5,"baffler",0.358125,0.110098168431265,0.0215792410125279
"5",0.17,0.5,1,0.5,"baffler",0.329047619047619,0.10541903310951,0.020662130489464
"6",0.21,0.5,1,0.5,"baffler",0.335849056603774,0.0871472104437171,0.0170808532469685
"7",0.25,0.5,1,0.5,"baffler",0.317903225806452,0.0842091272950453,0.0165049889498289
"8",0.29,0.5,1,0.5,"baffler",0.313698630136986,0.0852816201198347,0.0167151975434876
"9",0.33,0.5,1,0.5,"baffler",0.320365853658537,0.0899142852049901,0.0176231999001781
"10",0.37,0.5,1,0.5,"baffler",0.320326086956522,0.0924052535389346,0.0181114296936312
"11",0.41,0.5,1,0.5,"baffler",0.313883495145631,0.0884352555684052,0.0173333100914074
"12",0.45,0.5,1,0.5,"baffler",0.294375,0.0860006695878158,0.0168561312392119
"13",0.49,0.5,1,0.5,"baffler",0.296147540983607,0.0845804253146324,0.016577763361668
"14",0.53,0.5,1,0.5,"baffler",0.298106060606061,0.0858611178257894,0.0168287790938547
"15",0.57,0.5,1,0.5,"baffler",0.285734265734266,0.0820771646168226,0.0160871242648972
"16",0.61,0.5,1,0.5,"baffler",0.267631578947368,0.0736462270140612,0.014434660494756
"17",0.65,0.5,1,0.5,"baffler",0.27858024691358,0.0808259205793127,0.0158418804335453
"18",0.69,0.5,1,0.5,"baffler",0.265664739884393,0.0795193614660638,0.0155857948473485
"19",0.73,0.5,1,0.5,"baffler",0.277582417582418,0.0831872156895445,0.0163046942751507
"20",0.77,0.5,1,0.5,"baffler",0.264322916666667,0.077878662560267,0.0152642178618123
"21",0.81,0.5,1,0.5,"baffler",0.269554455445545,0.0805325254644151,0.0157843749910254
"22",0.85,0.5,1,0.5,"baffler",0.258915094339623,0.082068009514243,0.0160853298647916
"23",0.89,0.5,1,0.5,"baffler",0.258333333333333,0.0792902786692845,0.0155408946191798
"24",0.93,0.5,1,0.5,"baffler",0.254310344827586,0.0846981346100002,0.01660083438356
"25",0.97,0.5,1,0.5,"baffler",0.254132231404959,0.0809546298042557,0.0158671074416341
"26",0.01,0.5,1,0.5,"caller",0.296426759608074,0.0864862624755074,0.0169513074451994
"27",0.05,0.5,1,0.5,"caller",0.298449254703261,0.0882903869334668,0.0173049158389595
"28",0.09,0.5,1,0.5,"caller",0.283112475476705,0.083059933675596,0.0162797470004168
"29",0.13,0.5,1,0.5,"caller",0.27003923779288,0.0917981147300433,0.0179924304870885
"30",0.17,0.5,1,0.5,"caller",0.260472364357422,0.0859023702364725,0.0168368645663486
"31",0.21,0.5,1,0.5,"caller",0.265137325548776,0.0932367910895822,0.0182744110535581
"32",0.25,0.5,1,0.5,"caller",0.256943892077207,0.102583889430713,0.0201064423284197
"33",0.29,0.5,1,0.5,"caller",0.251623770132096,0.10036923757842,0.0196723705653702
"34",0.33,0.5,1,0.5,"caller",0.244420644249472,0.109458470905641,0.0214538602975057
"35",0.37,0.5,1,0.5,"caller",0.234372505131999,0.101882944324668,0.019969057087635
"36",0.41,0.5,1,0.5,"caller",0.236876800862804,0.108724778580349,0.0213100566017483
"37",0.45,0.5,1,0.5,"caller",0.236612589227774,0.0893579595797008,0.0175141600776214
"38",0.49,0.5,1,0.5,"caller",0.222311587941628,0.0992199369855484,0.0194471076491675
"39",0.53,0.5,1,0.5,"caller",0.205008205653073,0.10154855160339,0.0199035161142645
"40",0.57,0.5,1,0.5,"caller",0.205883459657045,0.111325088510085,0.0218197173479766
"41",0.61,0.5,1,0.5,"caller",0.216302467795629,0.104452703412018,0.0204727298687556
"42",0.65,0.5,1,0.5,"caller",0.233424947145877,0.134157303898453,0.0262948315640967
"43",0.69,0.5,1,0.5,"caller",0.203300142247511,0.116831642425621,0.0228990019154218
"44",0.73,0.5,1,0.5,"caller",0.206866518601575,0.125790468764958,0.0246549318779317
"45",0.77,0.5,1,0.5,"caller",0.191600985221675,0.129965579752309,0.0254732536314526
"46",0.81,0.5,1,0.5,"caller",0.207789855072464,0.140198448030173,0.027478895813914
"47",0.85,0.5,1,0.5,"caller",0.190533195734434,0.13876102219087,0.0271971603494105
"48",0.89,0.5,1,0.5,"caller",0.186208791208791,0.13747225063744,0.0269445611249382
"49",0.93,0.5,1,0.5,"caller",0.183472222222222,0.189710028972915,0.0371831656786914
"50",0.97,0.5,1,0.5,"caller",0.16,0.280961552422024,0.0550684642747168
"51",0.01,0.5,1,0.5,"silent",0.138824492019143,0.0486977385397536,0.00954475675379171
"52",0.05,0.5,1,0.5,"silent",0.13157692943096,0.0469197793281307,0.00919627674831362
"53",0.09,0.5,1,0.5,"silent",0.134938898748663,0.0574427963358654,0.0112587880818296
"54",0.13,0.5,1,0.5,"silent",0.130798804903934,0.0521412449037419,0.0102196840011334
"55",0.17,0.5,1,0.5,"silent",0.131108187630274,0.0562568109985467,0.0110263349557151
"56",0.21,0.5,1,0.5,"silent",0.129261246124612,0.0504600985219404,0.00989017931030032
"57",0.25,0.5,1,0.5,"silent",0.121850560920562,0.0471253567129224,0.00923656991573278
"58",0.29,0.5,1,0.5,"silent",0.124867680330309,0.0557255759017488,0.0109222128767428
"59",0.33,0.5,1,0.5,"silent",0.129081949058693,0.0549315474256107,0.0107665832954197
"60",0.37,0.5,1,0.5,"silent",0.12364580403188,0.0576327946912701,0.0112960277594889
"61",0.41,0.5,1,0.5,"silent",0.118931909359307,0.0529621987472457,0.0103805909544602
"62",0.45,0.5,1,0.5,"silent",0.12230510113823,0.0535168123071771,0.0104892952122067
"63",0.49,0.5,1,0.5,"silent",0.12344391025641,0.05323981116971,0.0104350029892632
"64",0.53,0.5,1,0.5,"silent",0.113773332098422,0.0538512409686867,0.0105548432298626
"65",0.57,0.5,1,0.5,"silent",0.116274251953497,0.0560931113645617,0.0109942498274541
"66",0.61,0.5,1,0.5,"silent",0.114703161264506,0.067770923781007,0.0132831010610774
"67",0.65,0.5,1,0.5,"silent",0.120338383838384,0.0633669860863466,0.0124199292729239
"68",0.69,0.5,1,0.5,"silent",0.117974358974359,0.0650269352991493,0.0127452793186333
"69",0.73,0.5,1,0.5,"silent",0.117230398465693,0.0840593700996672,0.0164756365395348
"70",0.77,0.5,1,0.5,"silent",0.106693965517241,0.0774325429564222,0.0151767784194587
"71",0.81,0.5,1,0.5,"silent",0.117,0.0824335259180766,0.016156971079943
"72",0.85,0.5,1,0.5,"silent",0.109615288220551,0.0906835737854757,0.0177739804619532
"73",0.89,0.5,1,0.5,"silent",0.11747619047619,0.0952887191091569,0.0186765889453947
"74",0.93,0.5,1,0.5,"silent",0.112111111111111,0.115514270014055,0.0226407969227547
"75",0.97,0.5,1,0.5,"silent",0.0845,0.15120642790035,0.0296364598684687
