"","baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
"1",0.01,0.5,1,0.5,"baffler",0.995,0.845352714623436,0.165689132066193
"2",0.05,0.5,1,0.5,"baffler",0.876666666666667,0.581041674589205,0.113884168219484
"3",0.09,0.5,1,0.5,"baffler",0.754090909090909,0.507482002771681,0.0994664725432495
"4",0.13,0.5,1,0.5,"baffler",0.6203125,0.473583559786177,0.0928223777180907
"5",0.17,0.5,1,0.5,"baffler",0.595952380952381,0.435653827907489,0.0853881502698679
"6",0.21,0.5,1,0.5,"baffler",0.501320754716981,0.421628961815156,0.0826392765157706
"7",0.25,0.5,1,0.5,"baffler",0.488709677419355,0.409645860500423,0.0802905886580828
"8",0.29,0.5,1,0.5,"baffler",0.471095890410959,0.407000422456514,0.0797720828014767
"9",0.33,0.5,1,0.5,"baffler",0.45109756097561,0.394430818327224,0.0773084403921358
"10",0.37,0.5,1,0.5,"baffler",0.42195652173913,0.362376082434772,0.0710257121572154
"11",0.41,0.5,1,0.5,"baffler",0.38621359223301,0.333199286380284,0.0653070601305356
"12",0.45,0.5,1,0.5,"baffler",0.376428571428571,0.355331626557493,0.0696449988052685
"13",0.49,0.5,1,0.5,"baffler",0.342459016393443,0.301854579897042,0.0591634976598202
"14",0.53,0.5,1,0.5,"baffler",0.346742424242424,0.329442493300735,0.0645707286869441
"15",0.57,0.5,1,0.5,"baffler",0.330909090909091,0.31286765987701,0.061322061335894
"16",0.61,0.5,1,0.5,"baffler",0.314210526315789,0.313244440526838,0.0613959103432602
"17",0.65,0.5,1,0.5,"baffler",0.315987654320988,0.302773355590101,0.0593435776956598
"18",0.69,0.5,1,0.5,"baffler",0.296242774566474,0.292993464551644,0.0574267190521223
"19",0.73,0.5,1,0.5,"baffler",0.279395604395604,0.274791173137648,0.0538590699349789
"20",0.77,0.5,1,0.5,"baffler",0.281354166666667,0.291030883982091,0.0570420532604898
"21",0.81,0.5,1,0.5,"baffler",0.264554455445545,0.271171070386473,0.0531495297957487
"22",0.85,0.5,1,0.5,"baffler",0.267547169811321,0.276486684572161,0.0541913901761435
"23",0.89,0.5,1,0.5,"baffler",0.258558558558559,0.27380600454132,0.0536659768900987
"24",0.93,0.5,1,0.5,"baffler",0.25698275862069,0.26342254965014,0.0516308197314274
"25",0.97,0.5,1,0.5,"baffler",0.250743801652893,0.257578690499191,0.0504854233378415
"26",0.01,0.5,1,0.5,"caller",0.292506648455876,0.167669002142357,0.032863124419902
"27",0.05,0.5,1,0.5,"caller",0.247797279711537,0.165095737017727,0.0323587644554746
"28",0.09,0.5,1,0.5,"caller",0.217040466884144,0.146764859830666,0.0287659125268105
"29",0.13,0.5,1,0.5,"caller",0.194339967014491,0.132356145205552,0.0259418044602882
"30",0.17,0.5,1,0.5,"caller",0.189101758701987,0.135964435694045,0.0266490293960329
"31",0.21,0.5,1,0.5,"caller",0.171124815905744,0.132803299911756,0.0260294467827042
"32",0.25,0.5,1,0.5,"caller",0.154290059532144,0.0990872623579767,0.0194211034221634
"33",0.29,0.5,1,0.5,"caller",0.151771554761731,0.0967651376163705,0.0189659669728086
"34",0.33,0.5,1,0.5,"caller",0.149572381667592,0.102596018623657,0.0201088196502368
"35",0.37,0.5,1,0.5,"caller",0.140613690107361,0.0982585580308261,0.0192586773740419
"36",0.41,0.5,1,0.5,"caller",0.13358992554198,0.0856583248612997,0.0167890316728147
"37",0.45,0.5,1,0.5,"caller",0.138632604242216,0.0939568846920287,0.0184155493996376
"38",0.49,0.5,1,0.5,"caller",0.134324532507785,0.0834593367876788,0.0163580300103851
"39",0.53,0.5,1,0.5,"caller",0.134880761957494,0.0907889006588993,0.0177946245291443
"40",0.57,0.5,1,0.5,"caller",0.129647099930119,0.0793433765410617,0.0155513018020481
"41",0.61,0.5,1,0.5,"caller",0.129872448979592,0.0999662130213261,0.0195933777521799
"42",0.65,0.5,1,0.5,"caller",0.132468287526427,0.0878462781727366,0.0172178705218564
"43",0.69,0.5,1,0.5,"caller",0.126552078394184,0.0677531876819989,0.0132796247856718
"44",0.73,0.5,1,0.5,"caller",0.112854278074866,0.0706838213454284,0.013854028983704
"45",0.77,0.5,1,0.5,"caller",0.117352216748769,0.09259029233875,0.018147697298395
"46",0.81,0.5,1,0.5,"caller",0.11554347826087,0.0818921949233602,0.0160508702049786
"47",0.85,0.5,1,0.5,"caller",0.118895768833849,0.098013781767289,0.0192107012263886
"48",0.89,0.5,1,0.5,"caller",0.128736263736264,0.0946865835422936,0.0185585703742895
"49",0.93,0.5,1,0.5,"caller",0.129166666666667,0.126302603098945,0.0247553102073933
"50",0.97,0.5,1,0.5,"caller",0.095,0.161979547281049,0.0317479912670857
"51",0.01,0.5,1,0.5,"silent",0.0969150926295503,0.0324341504607549,0.00635709349030796
"52",0.05,0.5,1,0.5,"silent",0.0941183415514966,0.0307146463226849,0.00602007067924625
"53",0.09,0.5,1,0.5,"silent",0.0936311692331972,0.0298135094938739,0.00584344786079928
"54",0.13,0.5,1,0.5,"silent",0.0890287349335515,0.0297196830903654,0.00582505788571161
"55",0.17,0.5,1,0.5,"silent",0.0877804443983689,0.0341867442953791,0.00670060188189431
"56",0.21,0.5,1,0.5,"silent",0.0876769276927692,0.0319838179877129,0.00626882832559173
