"","baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
"1",0.01,0.5,1,0.5,"baffler",0.505,0.570729641101917,0.111863009655976
"2",0.05,0.5,1,0.5,"baffler",0.373333333333333,0.224570921460086,0.0440159006061768
"3",0.09,0.5,1,0.5,"baffler",0.330909090909091,0.178818225934526,0.0350483722831671
"4",0.13,0.5,1,0.5,"baffler",0.3140625,0.169447387528258,0.0332116879555385
"5",0.17,0.5,1,0.5,"baffler",0.289047619047619,0.154118431394003,0.0302072125532246
"6",0.21,0.5,1,0.5,"baffler",0.26622641509434,0.147738391386364,0.0289567247117273
"7",0.25,0.5,1,0.5,"baffler",0.246451612903226,0.129298357092367,0.0253424779901039
"8",0.29,0.5,1,0.5,"baffler",0.241369863013699,0.142277499062273,0.0278863898162056
"9",0.33,0.5,1,0.5,"baffler",0.232682926829268,0.121404044693383,0.023795192759903
"10",0.37,0.5,1,0.5,"baffler",0.212282608695652,0.132346326407696,0.0259398799759085
"11",0.41,0.5,1,0.5,"baffler",0.209514563106796,0.116897934512755,0.0229119951645
"12",0.45,0.5,1,0.5,"baffler",0.203928571428571,0.117363081803954,0.0230031640335749
"13",0.49,0.5,1,0.5,"baffler",0.196475409836066,0.120006445860266,0.0235212633886122
"14",0.53,0.5,1,0.5,"baffler",0.190454545454545,0.110619687115298,0.0216814586745985
"15",0.57,0.5,1,0.5,"baffler",0.172657342657343,0.101808535800916,0.0199544730169796
"16",0.61,0.5,1,0.5,"baffler",0.174934210526316,0.103161735266584,0.0202197001122504
"17",0.65,0.5,1,0.5,"baffler",0.172901234567901,0.116414346924306,0.022817211997164
"18",0.69,0.5,1,0.5,"baffler",0.164335260115607,0.109905706676202,0.0215415185085357
"19",0.73,0.5,1,0.5,"baffler",0.154505494505494,0.10441540727404,0.0204654198257118
"20",0.77,0.5,1,0.5,"baffler",0.154791666666667,0.1103839049929,0.0216352453786083
"21",0.81,0.5,1,0.5,"baffler",0.149009900990099,0.100792778686051,0.0197553846224659
"22",0.85,0.5,1,0.5,"baffler",0.146084905660377,0.0991132072569202,0.0194261886223564
"23",0.89,0.5,1,0.5,"baffler",0.147117117117117,0.0974057207910777,0.0190915212750512
"24",0.93,0.5,1,0.5,"baffler",0.144051724137931,0.0971100117192017,0.0190335622969635
"25",0.97,0.5,1,0.5,"baffler",0.136735537190083,0.0942039187217033,0.0184639680694539
"26",0.01,0.5,1,0.5,"caller",0.189211716095575,0.0914132099055391,0.0179169891414857
"27",0.05,0.5,1,0.5,"caller",0.166369431670354,0.0866050861074138,0.0169745968770531
"28",0.09,0.5,1,0.5,"caller",0.14457391235803,0.0784774487649582,0.0153815799579318
"29",0.13,0.5,1,0.5,"caller",0.130785686732452,0.0799371782609554,0.0156676869391473
"30",0.17,0.5,1,0.5,"caller",0.121496337623922,0.0824756346057501,0.016165224382727
"31",0.21,0.5,1,0.5,"caller",0.111658829049797,0.0636012320140763,0.012465841474759
"32",0.25,0.5,1,0.5,"caller",0.109877751584057,0.0695607046665157,0.0136338981146371
"33",0.29,0.5,1,0.5,"caller",0.103248048435675,0.0629532378781551,0.0123388346241184
"34",0.33,0.5,1,0.5,"caller",0.104734366035571,0.0659001098962503,0.0129164215396651
"35",0.37,0.5,1,0.5,"caller",0.098057997410096,0.0617211997597165,0.0120973551529044
"36",0.41,0.5,1,0.5,"caller",0.0955407462256778,0.061186254349848,0.0119925058525702
"37",0.45,0.5,1,0.5,"caller",0.084933736340386,0.056107906513453,0.0109971496766368
"38",0.49,0.5,1,0.5,"caller",0.093664794546851,0.051021593808901,0.0100002323865446
"39",0.53,0.5,1,0.5,"caller",0.0892796353830221,0.0595539959963044,0.0116725832152757
"40",0.57,0.5,1,0.5,"caller",0.0788120195667365,0.0626278074602149,0.0122750502622021
"41",0.61,0.5,1,0.5,"caller",0.0816454081632654,0.0538731963528288,0.0105591464851545
"42",0.65,0.5,1,0.5,"caller",0.0862138830162086,0.0606413121516023,0.0118856971817141
"43",0.69,0.5,1,0.5,"caller",0.0798601232811759,0.0586988934867349,0.0115049831234
"44",0.73,0.5,1,0.5,"caller",0.0742691622103386,0.0512195316418383,0.0100390282018003
"45",0.77,0.5,1,0.5,"caller",0.0756759715380406,0.0620744026058935,0.0121665829107551
"46",0.81,0.5,1,0.5,"caller",0.0829710144927537,0.0775870588910925,0.0152070635426541
"47",0.85,0.5,1,0.5,"caller",0.0695321637426901,0.0607560610511976,0.0119081879660347
"48",0.89,0.5,1,0.5,"caller",0.0687912087912088,0.0759073802559079,0.0148778465301579
"49",0.93,0.5,1,0.5,"caller",0.0701388888888888,0.0969789123152276,0.0190078668137846
"50",0.97,0.5,1,0.5,"caller",0.0733333333333333,0.130976647364643,0.0256714228834701
"51",0.01,0.5,1,0.5,"silent",0.0511392000193524,0.0209618079394375,0.00410851435612976
"52",0.05,0.5,1,0.5,"silent",0.0455324397037028,0.021296956321773,0.00417420343906751
"53",0.09,0.5,1,0.5,"silent",0.0471211067880365,0.0203136232658606,0.00398147016010868
"54",0.13,0.5,1,0.5,"silent",0.0464912770509101,0.0201298400719574,0.00394544865410365
"55",0.17,0.5,1,0.5,"silent",0.0513345293769822,0.0225821996796898,0.0044261111372192
"56",0.21,0.5,1,0.5,"silent",0.0489694451798121,0.0214436105881401,0.00420294767527546
"57",0.25,0.5,1,0.5,"silent",0.0495420632698768,0.0246001385679096,0.00482162715931028
"58",0.29,0.5,1,0.5,"silent",0.0449728600119416,0.0244924596380434,0.00480052208905651
"59",0.33,0.5,1,0.5,"silent",0.0474223325693914,0.0249364429110386,0.00488754281056356
