"","baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
"1",0.01,0.5,1,0.5,"baffler",0.98,1.02720568298249,0.201332313864567
"2",0.05,0.5,1,0.5,"baffler",0.8075,0.583837564659871,0.114432162673335
"3",0.09,0.5,1,0.5,"baffler",0.759545454545454,0.561230945010339,0.110001265222026
"4",0.13,0.5,1,0.5,"baffler",0.6771875,0.620534155465876,0.121624694471312
"5",0.17,0.5,1,0.5,"baffler",0.623095238095238,0.577628453421617,0.113215176870637
"6",0.21,0.5,1,0.5,"baffler",0.56622641509434,0.523704402615285,0.102646062912596
"7",0.25,0.5,1,0.5,"baffler",0.535967741935484,0.530152509596635,0.10390989188094
"8",0.29,0.5,1,0.5,"baffler",0.518356164383562,0.54303780044605,0.106435408887426
"9",0.33,0.5,1,0.5,"baffler",0.468414634146341,0.509165522989612,0.0997964425059639
"10",0.37,0.5,1,0.5,"baffler",0.453260869565217,0.509547996744214,0.099871407361866
"11",0.41,0.5,1,0.5,"baffler",0.427864077669903,0.467816431240898,0.0916920205232161
"12",0.45,0.5,1,0.5,"baffler",0.423125,0.496075765543173,0.097230850046462
"13",0.49,0.5,1,0.5,"baffler",0.398524590163934,0.461043032695852,0.0903644344083871
"14",0.53,0.5,1,0.5,"baffler",0.380227272727273,0.456937760015517,0.0895598009630413
"15",0.57,0.5,1,0.5,"baffler",0.361328671328672,0.430340537533327,0.084346745356532
"16",0.61,0.5,1,0.5,"baffler",0.349210526315789,0.44463219421294,0.0871479100657363
"17",0.65,0.5,1,0.5,"baffler",0.338024691358025,0.440486631467138,0.086335379767559
"18",0.69,0.5,1,0.5,"baffler",0.327861271676301,0.423678730993548,0.0830410312747354
"19",0.73,0.5,1,0.5,"baffler",0.321153846153846,0.41255227841409,0.0808602465691617
"20",0.77,0.5,1,0.5,"baffler",0.307083333333333,0.391077473632779,0.0766511848320246
"21",0.81,0.5,1,0.5,"baffler",0.303118811881188,0.398657374415874,0.0781368453855113
"22",0.85,0.5,1,0.5,"baffler",0.289009433962264,0.396094716489443,0.0776345644319308
"23",0.89,0.5,1,0.5,"baffler",0.291981981981982,0.397338565036573,0.0778783587471683
"24",0.93,0.5,1,0.5,"baffler",0.289051724137931,0.394668846681238,0.0773550939495226
"25",0.97,0.5,1,0.5,"baffler",0.276570247933884,0.383582232979324,0.0751821176639475
"26",0.01,0.5,1,0.5,"caller",0.410660089203455,0.343791148934659,0.0673830651911932
"27",0.05,0.5,1,0.5,"caller",0.338890441009085,0.302915564584047,0.0593714506584731
"28",0.09,0.5,1,0.5,"caller",0.306522514804711,0.310225632055598,0.0608042238828973
"29",0.13,0.5,1,0.5,"caller",0.274958931537213,0.297464912016451,0.0583031227552243
"30",0.17,0.5,1,0.5,"caller",0.246488922204394,0.259019303919414,0.0507677835682052
"31",0.21,0.5,1,0.5,"caller",0.229128267327007,0.252899699446455,0.0495683410915052
"32",0.25,0.5,1,0.5,"caller",0.213464174284397,0.243847457383431,0.0477941016471524
