f_dist_interbush,m_dist_interbush,calling_effort,m_dist_within_bush,f_dist_within_bush,bush_width
32.15643301,40.49777298,0.375,20.2,80.8,120
31.03367443,34.45070234,0.375,24.38355696,60.95889249,64
30.98675092,26.74707319,0.375,20.2,10.1,68
30.14634235,26.67451483,0.375,40.4,85.83349519,66
29.92076771,24.27741407,0.076923077,16.83333337,60.6,82
29.48662952,22.78308391,0.8125,16.83333337,55.97320293,133
28.86722931,22.33167578,0.375,33.66666663,33.66666663,61
28.30538813,22.10223567,0.928571429,28.85714289,34.83365285,53
28.02780506,20.43940256,0.4375,28.7362975,50.5,94
27.15308625,17.26377005,0.5625,11.22222221,20.31963086,69
26.57615825,16.44136188,1,26.73529408,33.66666663,86
24.83420544,15.78345551,0.375,9.181818191,4.208333367,84
24.45474029,15.71501881,1,63.125,19.05398734,93
24.04804595,15.5349742,0.4375,40.73128535,27.54545457,104
24.03972854,15.1886752,0.125,17.37252813,30.4794462,99
23.68354695,14.84440666,0.9375,63.87800873,50.5,81
22.95603069,14.77570444,0.8125,40.4,25.25,102
22.78308391,13.97206662,0.5625,25.25,50.5,54
22.30466111,13.22499739,0.8125,12.98505177,76.56425069,81
21.25844619,12.36478246,0.625,27.54545457,21.97470302,86
20.82202436,12.23036082,0.125,16.25570467,20.2,81
20.43031447,12.22347553,0.6875,50.5,38.31506326,90
20.26187381,12.01455353,0.5,9.181818191,40.4,66
19.55410921,11.1550711,1,20.40508141,73.0734293,76
19.52932507,11.10205589,0.5,35.70889249,16.83333337,80
19.52864389,11.01346343,0.625,7.214285671,31.34868815,129
19.09368869,10.89552207,0.25,5.187990846,18.36363638,43
19.00073352,10.54092829,0.384615385,8.416666633,61.12202537,54
18.90705795,10.42238779,0.375,16.83333337,20.2,70
18.48605961,10.20356857,0.5,4.391304361,28.2303582,72
17.8749056,10.00509149,0.1875,6.3125,6.733333367,72
17.58300189,9.790892073,0.625,6.3125,25.25,73
17.39195781,9.617489413,0.125,22.44444442,38.84615389,69
16.97960891,9.001414233,0.5625,37.76747873,6.733333367,29
16.62629033,8.761760327,0.9375,30.4794462,72.14285711,94
16.31348489,8.599566627,0.666666667,13.64864864,2.244444422,68
14.99005545,8.213740147,0.4375,13.17391308,25.25,91
14.00186784,8.19904102,0.875,21.55222315,20.31963086,43
13.87307571,8.164945947,0.3125,34.62771405,14.42857144,71
13.81379286,8.13024944,0.875,6.590150515,2.244444422,83
13.7975419,7.51125186,0.6875,14.42857144,2.19565213,97
13.41595039,7.496033347,0.375,4.391304361,68.96711391,73
13.30982392,7.411766393,0.1875,6.210242146,25.25,69
13.27143759,7.371759827,0.5,4.297872291,27.23690543,87
13.20126087,7.191136293,0.3125,2.19565213,2.19565213,66
12.73215505,7.1340859,0.6875,4.391304361,3.174123768,81
12.61586321,6.498892247,0.875,6.586956491,25.25,37
12.26815745,6.458895285,0.5,47.61185662,33.66666663,45
12.22861606,6.274372443,0.8125,7.496425434,28.85714289,95
12.01455353,6.177878156,0.5625,18.75658234,57.71428567,137
11.90779369,5.948569948,0.1875,10.97826085,43.28571433,67
11.81782657,5.791717991,0.3125,14.08338193,33.66666663,52
11.37421725,5.789247887,0.25,12.625,6.809226383,68
10.89552207,5.656303529,0.1875,11.63479933,67.2299022,52
10.76598174,5.431537979,0.3125,6.446808487,50.5,96
10.67966441,5.173426327,0.3125,4.391304361,57.93222711,72
10.67703655,5.118092121,0.25,2.19565213,41.62533543,114
10.54092829,5.118092121,0.1875,5.300773304,70.92767915,144
10.23618424,4.931240521,0.25,14.08338193,7.769230777,38
9.617489413,4.6,0.3125,2.885714329,33.66666663,96
9.06284206,4.6,0.375,13.93346116,12.625,114
8.813532813,4.591733213,0.3125,4.909627473,21.52760278,118
8.604083907,4.419028131,0.625,6.586956491,33.66666663,78
8.256933367,3.940138061,0.125,2.19565213,45.1685731,87
8.164945947,3.808228603,0.375,41.07856295,41.98952437,104
8.164945947,3.604874747,0.642857143,114.2684559,20.2,124
8.13024944,3.597535495,0.1875,2.348837214,53.76116133,107
8.119998427,3.461610745,0.142857143,13.28947365,89.18925069,64
8.061135753,3.426570814,0.3125,5.300773304,75.6326479,40
8.0433483,3.392226327,0.75,12.40605291,20.40508141,57
7.926579833,3.392226327,0.307692308,12.79719864,16.27903416,87
7.496033347,3.392226327,0.375,14.21055941,43.62330501,101
7.439764133,3.344674369,0.1875,28.16676395,16.80418467,61
7.4188697,3.15957659,0.75,14.42857144,10.91891891,48
7.305274133,3.15957659,0.692307692,,33.66666663,53
7.202324887,3.132121555,0.5625,,14.42857144,147
7.039871973,3.066666667,0.5,,4.391304361,44
6.6,2.792092792,0.9375,,16.83333337,53
6.586496316,2.775050133,0.625,,2.19565213,87
6.517159415,2.726001935,0.75,,22.44444442,111
6.396657184,2.704651168,0.375,,2.19565213,99
6.227079479,2.704651168,0.5,,40.4,67
5.816601515,2.670416893,0.5,,6.586956491,105
5.804247485,2.621583137,0.6875,,3.03905465,70
5.747035804,2.339007605,0.875,,10.97826085,125
5.630985745,2.332947859,0.1875,,4.391304361,129
5.575632633,2.332947859,0.6875,,24.15217394,106
5.544511583,1.701293937,0.666666667,,47.61185662,123
5.389465551,1.666666667,0.875,,47.61185662,91
5.335171371,1.442953273,0.3125,,7.496425434,56
5.2,,0.5,,23.80592826,122
5.133333333,,0.1875,,39.41239837,81
5.121839587,,0.3125,,3.105121073,75
5.093002397,,0.1875,,15.53846155,119
4.88571108,,0.9375,,7.496425434,97
4.88571108,,0.375,,8.782608722,71
4.681083328,,0.625,,5.300773304,74
4.462764341,,0.625,,357.0889245,72
4.417801919,,0.9375,,3.105121073,43
4.417801919,,0.6875,,36.69983571,71
4.279347479,,0.5,,9.907457135,62
4.270065715,,0.5,,10.43729859,44
4.211626937,,0.692307692,,21.69447488,64
4.211626937,,0.75,,4.391304361,42
4.211626937,,0.466666667,,7.496425434,96
3.954388871,,0.8125,,19.04474261,114
3.811825135,,0.375,,12.40605291,118
3.426570814,,0.3125,,13.6922362,78
3.426570814,,0.3125,,5.018730299,87
3.354359489,,0.4375,,23.0220308,104
3.344674369,,0.4375,,2.19565213,124
3.274934699,,0.0625,,7.105279704,107
3.15957659,,0.25,,6.733333367,64
3.15957659,,0.6875,,4.909627473,40
2.916189454,,0.5625,,10.21040078,57
2.775050133,,0.625,,33.66666663,87
2.775050133,,0.0625,,20.29362407,101
2.670416893,,0.4375,,25.97111172,61
2.332947859,,0.875,,14.42857144,48
2.285315029,,0.1875,,28.85714289,53
2.271961389,,0.1875,,,147
2.271961389,,0.875,,,44
2.271961389,,0.125,,,53
2.271961389,,0.625,,,87
2.247647039,,0.4375,,,111
2.144488268,,0.375,,,99
2.144488268,,0.1875,,,67
1.939851621,,0.466666667,,,105
1.889963181,,0.083333333,,,70
1.701293937,,0.8125,,,125
1.666666667,,0.8125,,,129
1.666666667,,0.1875,,,106
1.666666667,,0.5625,,,123
,,0.125,,,91
,,0.375,,,56
,,0.8125,,,122
,,1,,,81
,,0.625,,,75
,,0.9375,,,119
,,0.5625,,,97
,,0.25,,,71
,,0.3125,,,74
,,0.5625,,,72
,,0.0625,,,43
,,0.625,,,71
,,0.5,,,62
,,0.8125,,,44
,,0.3125,,,64
,,0.6875,,,42
,,0.5625,,,88
,,0.0625,,,187
,,0.5,,,117
,,0.6875,,,134
,,0.666666667,,,133
,,0.6875,,,118
,,0.625,,,168
,,0.533333333,,,61
,,0.5,,,41
,,1,,,110
,,0.875,,,80
,,0.875,,,12
,,0.375,,,10
,,0.75,,,110
,,0.375,,,80
,,0.6875,,,154
,,0.875,,,88
,,0.8125,,,98
,,0.3125,,,75
,,0.3125,,,87
,,0.5,,,111
,,0.066666667,,,114
,,0.9375,,,132
,,0.0625,,,55
,,0.6875,,,170
,,0.75,,,110
,,0.375,,,104
,,0.8125,,,98
,,0.75,,,69
,,0.6875,,,69
,,0.1875,,,178
,,0.5,,,117
,,0.916666667,,,158
,,0.4375,,,120
,,0.5,,,25
,,0.9375,,,10
,,0.6875,,,20
,,0.6875,,,19
,,0.4375,,,102
,,0.636363636,,,49
,,0.75,,,73
,,0.4375,,,97
,,0.125,,,12
,,0.6875,,,38
,,0.9375,,,117
,,0.5625,,,41
,,0.538461538,,,32
,,0.875,,,13
,,0.75,,,88
,,0.3125,,,27
,,0.25,,,9
,,0.375,,,14
,,0.5,,,6
,,0.625,,,120
,,0.416666667,,,43
,,0.5625,,,11
,,0.153846154,,,3
,,0.875,,,10
,,1,,,146
,,0.75,,,90
,,0.625,,,
,,0.142857143,,,
,,0.25,,,
,,0.5,,,
,,0.125,,,
,,0.125,,,
,,0.875,,,
,,0.5625,,,
,,0.25,,,
,,0.1875,,,
,,0.75,,,
,,0.3125,,,
,,0.1875,,,
,,0.1875,,,
,,0.875,,,
,,0.428571429,,,
,,0.1875,,,
,,0.0625,,,
,,0.4375,,,
,,0.5625,,,
,,0.125,,,
,,0.9375,,,
,,0.5,,,
,,0.1875,,,
,,0.846153846,,,
,,0.4,,,
,,0.076923077,,,
,,0.75,,,
,,0.6875,,,
,,0.333333333,,,
,,1,,,
,,0.75,,,
,,0.875,,,
,,0.625,,,
,,0.375,,,
,,0.8125,,,
,,0.1875,,,
,,0.375,,,
,,0.6875,,,
,,1,,,
,,0.0625,,,
,,0.357142857,,,
,,0.375,,,
,,0.1875,,,
,,0.25,,,
,,0.4375,,,
,,0.8125,,,
,,0.4375,,,
,,0.8125,,,
,,0.0625,,,
,,0.4375,,,
,,0.625,,,
,,0.875,,,
,,0.1875,,,
,,0.5625,,,
